,Unnamed: 0.1,SchoolCode,CohortStudents,Dropout (Count),Dropout Rate,Unnamed: 0,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,FundPerStudent,Educational Option Type,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),Low Grade,High Grade,Enrollment (Ages 5-17),TotalFTE,ClearFTE,OtherFTE,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative,CountyMedianIncome,MedianIncome,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
32,1645,3030475,5172.0,564.0,0.1090487238979118,3030475,Cesar E. Chavez High,66670,Santa Ana Unified,30,Orange,30003.36507787136,Continuation School,291,217,0.7457044673539519,9,12,178,18.3,15.5,2.84,535.0,*,*,*,525,*,43800,"78,655",158,1547,135.0,1368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1647,3030491,5920.0,244.0,0.0412162162162162,3030491,Century High,66670,Santa Ana Unified,30,Orange,30003.36507787136,Traditional,1656,1028,0.6207729468599034,9,12,1479,85.54,57.41,7.25,1701.0,22,*,29,1635,*,43800,"78,655",408,9313,316.0,7544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1672,3030608,1320.0,16.0,0.0121212121212121,3030608,Middle College High,66670,Santa Ana Unified,30,Orange,30003.36507787136,Alternative School of Choice,364,187,0.5137362637362637,9,12,362,15.45,13.63,1.82,369.0,*,*,13,350,*,43800,"78,655",183,2740,124.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,11,131128,1864.0,16.0,0.0085836909871244,131128,Da Vinci Communications,76869,Wiseburn Unified,19,Los Angeles,17004.67851838435,Traditional,527,197,0.3738140417457306,9,12,513,23.24,21.37,1.88,618.0,68,139,19,342,*,35925,"129,066",161,3579,78.0,2163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,858,119016,1836.0,0.0,0.0,119016,Da Vinci Science,76869,Wiseburn Unified,19,Los Angeles,17004.67851838435,Traditional,566,130,0.2296819787985865,9,12,555,24.53,24.13,0.4,577.0,87,55,35,332,*,35925,"129,066",172,4488,90.0,2684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1018,119636,1676.0,0.0,0.0,119636,Da Vinci Design,76869,Wiseburn Unified,19,Los Angeles,17004.67851838435,Traditional,545,191,0.3504587155963303,9,12,531,25.73,20.23,5.5,540.0,44,75,12,360,*,35925,"129,066",197,4895,88.0,2533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,13,1933381,9564.0,348.0,0.0363864491844416,1933381,James A. Garfield Senior High,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Traditional,2343,2134,0.9107981220657276,9,12,2293,110.84,81.22,23.98,2514.0,*,14,*,2479,*,35925,"69,016",316,9517,173.0,5484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,34,114850,5140.0,548.0,0.1066147859922179,114850,West Adams Preparatory High,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Traditional,1117,1065,0.9534467323187108,9,12,1062,66.98,52.95,8.13,1193.0,18,69,*,1093,*,35925,"69,016",143,3381,87.0,2321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,47,123133,2376.0,144.0,0.0606060606060606,123133,Alliance Susan and Eric Smidt Technology High,64733,Los Angeles Unified,19,Los Angeles,15435.82952020202,Traditional,369,313,0.8482384823848238,9,12,357,20.56,18.45,2.11,451.0,*,*,*,434,*,35925,"69,016",60,1409,46.0,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,48,123141,1384.0,32.0,0.0231213872832369,123141,Alliance Ted K. Tajima High,64733,Los Angeles Unified,19,Los Angeles,26264.26840317919,Traditional,471,403,0.8556263269639066,9,12,460,25.85,20.57,5.27,450.0,*,*,*,433,*,35925,"69,016",54,1347,44.0,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,61,106831,2416.0,96.0,0.0397350993377483,106831,Animo Venice Charter High,64733,Los Angeles Unified,19,Los Angeles,30594.359031456956,Traditional,497,416,0.8370221327967807,9,12,478,28.1,28.07,0.03,532.0,16,28,*,480,*,35925,"69,016",81,2136,53.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,66,106849,2532.0,100.0,0.0394944707740916,106849,Animo Pat Brown,64733,Los Angeles Unified,19,Los Angeles,105503.43192733017,Traditional,625,569,0.9104,9,12,610,28.12,23.43,4.68,636.0,*,*,*,626,*,35925,"69,016",77,1739,48.0,1327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,87,1933795,7168.0,544.0,0.0758928571428571,1933795,Ulysses S. Grant Senior High,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Traditional,1834,1584,0.8636859323882224,9,12,1767,94.32,62.6,14.98,1972.0,759,63,45,1059,*,35925,"69,016",275,7317,191.0,5403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,91,106997,2784.0,0.0,0.0,106997,Orthopaedic Hospital,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Alternative School of Choice,731,663,0.9069767441860463,9,12,728,36.5,30.02,5.51,798.0,*,15,14,749,*,35925,"69,016",109,3128,93.0,2566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,92,107003,3812.0,52.0,0.0136411332633788,107003,Northridge Academy High,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Traditional,938,596,0.6353944562899787,9,12,915,40.98,32.49,4.89,989.0,128,29,41,702,*,35925,"69,016",107,2275,57.0,1732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,96,1933852,10432.0,720.0,0.0690184049079754,1933852,Alexander Hamilton Senior High,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Traditional,2346,1415,0.603154305200341,9,12,2307,110.55,81.43,24.28,2611.0,404,675,87,1365,*,35925,"69,016",437,9713,268.0,7733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,102,115253,1056.0,144.0,0.1363636363636363,115253,Discovery Charter Preparatory #2,64733,Los Angeles Unified,19,Los Angeles,17238.057888257576,Traditional,199,129,0.6482412060301508,9,12,196,16.0,13.4,1.2,240.0,*,*,*,232,*,35925,"69,016",38,674,21.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,132,1934033,5492.0,328.0,0.0597232337946103,1934033,Hollywood Senior High,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Traditional,1212,1091,0.9001650165016502,9,12,1178,65.33,49.89,13.52,1371.0,159,159,42,957,*,35925,"69,016",162,4742,133.0,4047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,138,131821,632.0,76.0,0.120253164556962,131821,Collegiate Charter High School of Los Angeles,64733,Los Angeles Unified,19,Los Angeles,14823.893291139242,Traditional,206,174,0.8446601941747572,9,12,190,10.4,2.36,8.04,213.0,*,17,*,193,*,35925,"69,016",33,658,18.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,155,1934157,5400.0,624.0,0.1155555555555555,1934157,Huntington Park Senior High,64733,Los Angeles Unified,19,Los Angeles,47247.024879729055,Traditional,1455,1349,0.927147766323024,9,12,1408,67.0,44.82,17.18,1542.0,*,20,*,1506,*,35925,"69,016",163,4824,96.0,3412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
