,Dcode,avg_dropout_rate,total_fund,CO Code,District,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
16,61432,0.0,62634193.82,4,DURHAM UNIFIED SCH DIST,"11,132,391.88",997.79,"11,157.05",Unified,12434,473,107,114,20,0,5,0,6,239,0,0,0,2,7912,5814,7,343,48,0,0,9,17,0,0,1340,0,0,334,0,4049,0,3394,0,0,0,0,64,0,0,3,76,0,0,0,0,75,0,27,0
17,61440,6.7,1431487.34,4,FEATHER FALLS UNION ELEM SCH DIST,"372,480.94",8.58,"43,412.70",Elementary,476,64,1,8,1,0,0,0,40,5,0,0,4,6,267,191,1,42,1,0,0,0,0,0,0,23,0,0,9,0,145,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18,61515,13.795918367346939,125050119.04,4,OROVILLE UNION HIGH SCHOOL DIST,"27,856,421.22","1,981.00","14,061.80",High,36760,2334,937,233,182,0,78,5,285,703,0,0,79,14,21842,17087,22,688,143,0,0,22,56,0,0,3080,0,0,744,0,12584,0,8213,0,0,0,0,1769,1240,258,0,111,0,0,0,0,10,0,187,0
19,61531,16.171584699453554,164521291.0,4,PARADISE UNIFIED SCHOOL DISTRICT,"39,503,177.92","3,152.85","12,529.36",Unified,48495,3126,953,504,167,0,39,0,170,1442,0,0,0,18,32453,24329,33,1291,242,0,0,0,100,0,0,5398,0,0,1060,0,12916,0,10276,0,0,0,0,0,118,0,0,20,0,0,0,0,0,0,244,0
20,61556,4.9,46886640.8,5,BRET HARTE UNION HIGH SCH DIST,"10,985,988.83",598.04,"18,369.99",High,13787,267,150,0,20,0,0,0,0,111,0,0,0,6,1572,391,10,0,43,0,0,33,8,0,0,767,0,0,320,0,11948,0,11105,0,0,0,0,0,0,0,0,82,0,0,0,11,68,0,139,0
21,61564,3.2714285714285714,108722846.93,5,CALAVERAS UNI SCH DIST,"31,919,226.42","2,644.37","12,070.64",Unified,38778,2170,790,0,131,0,33,0,240,1083,0,0,0,24,12550,6830,28,0,189,0,0,11,82,0,0,4523,0,0,887,0,24058,0,22327,0,0,0,0,385,0,0,0,175,0,0,0,0,53,0,77,0
22,61598,8.64,51816951.69,6,COLUSA UNIFIED SCH DIST,"15,853,987.43","1,422.61","11,144.30",Unified,19745,1130,226,0,35,0,7,62,114,721,0,0,0,0,14204,11135,9,0,104,0,0,20,54,0,0,2417,0,0,465,0,4411,0,3957,0,0,0,0,26,4,0,0,110,0,0,0,10,4,0,90,0
23,61606,6.883333333333333,16313920.88,6,MAXWELL UNIF SCH DIST,"4,254,259.99",326.88,"13,014.75",Unified,4941,321,43,0,15,0,2,23,46,177,0,0,0,30,3061,2428,3,0,23,0,0,13,15,0,0,455,0,0,124,0,1559,0,1415,0,0,0,0,14,9,0,0,21,0,0,0,0,0,0,32,0
24,61614,2.478125,113868758.5,6,PIERCE J. T. UNIFIED SCHOOL DIST,"15,109,109.81","1,415.63","10,673.06",Unified,21147,987,288,0,44,0,10,52,19,618,0,0,0,0,13595,10789,13,0,104,0,0,28,47,0,0,2173,0,0,441,0,6565,0,5607,0,0,0,0,39,0,0,0,89,0,0,0,0,28,0,400,0
25,61622,0.0,95889042.49,6,WILLIAMS UNIFIED SCH DIST,"15,600,533.12","1,227.27","12,711.57",Unified,20783,2331,1156,0,20,0,0,109,184,882,0,0,0,0,13480,10825,9,0,91,0,0,14,63,0,0,2061,0,0,417,0,4972,0,3861,0,0,0,0,13,5,0,13,94,0,0,0,0,0,0,276,0
26,61630,3.7833333333333337,421650253.25,7,ACALANES UNION HIGH SCHOOL DIST,"80,123,902.30","5,426.46","14,765.41",High,100233,1734,148,1057,64,0,55,43,134,165,0,0,0,132,14213,5046,22,0,398,0,0,0,10,0,0,6415,0,0,2322,0,84286,0,59486,0,0,0,10468,2531,1483,491,0,1184,0,0,0,0,1011,0,985,0
27,61648,14.085975609756098,705052433.11,7,ANTIOCH UNIFIED SCH DIST,"205,569,457.13","15,156.59","13,563.04",Unified,235844,15653,4703,3248,615,0,127,619,1015,5941,0,0,0,0,155829,119513,115,0,1119,0,0,0,428,3816,0,25042,0,0,5796,0,64362,0,51508,0,0,0,895,4265,1754,3,0,1041,0,0,0,13,313,0,912,0
28,61663,14.7875,59544151.32,7,BYRON UNION ELEM SCH DIST,"17,425,135.55","1,418.25","12,286.36",Elementary,21554,674,122,304,3,0,0,11,1,236,0,0,0,0,11772,8808,9,0,109,0,0,0,17,0,0,2379,0,0,450,0,9108,0,6871,0,0,0,0,0,66,0,56,205,0,0,0,947,69,0,85,0
29,61697,5.367857142857143,293740008.76,7,JOHN SWETT UNIFIED SCH DIST,"16,944,620.73","1,335.12","12,691.46",Unified,25175,1087,304,297,88,0,0,31,3,451,0,1,0,0,8729,6289,11,4,108,0,0,0,114,0,0,1721,0,0,482,0,15359,0,12816,0,0,0,0,403,472,0,0,69,0,0,0,53,27,0,1168,0
30,61721,4.751351351351351,606888006.21,7,LIBERTY UNION HIGH SCHOOL DIST,"90,972,618.34","7,762.41","11,719.64",High,118902,3100,480,1534,141,0,112,47,189,738,0,0,0,0,58877,42591,45,23,574,0,0,7,52,0,0,13102,0,0,2483,0,56925,0,43228,0,0,0,0,2567,1715,101,138,712,0,0,0,183,340,0,1903,0
31,61739,11.457894736842107,486754191.78,7,MARTINEZ UNIFIED SCHOOL DISTRICT,"45,252,516.04","3,935.66","11,498.08",Unified,61259,1946,336,807,40,0,102,35,141,446,0,0,79,0,23107,13615,21,0,293,0,0,0,33,0,0,7834,0,0,1311,0,36206,0,29062,0,0,0,515,2936,0,291,0,477,0,0,0,119,208,0,1549,0
32,61754,10.828215767634854,1884287705.47,7,MT DIABLO UNIFIED SCHOOL DISTRICT,"378,275,568.53","29,298.72","12,910.99",Unified,479186,26708,6267,7671,764,0,198,828,3617,7886,0,0,0,241,235385,144026,188,17990,2186,0,0,0,518,3968,0,55372,0,0,11137,0,217093,0,186812,0,0,0,0,0,8543,975,0,2961,0,0,0,10,1418,0,3514,0
33,61788,9.871604938271606,680491465.47,7,PITTSBURG UNIFIED SCHOOL DISTRICT,"140,830,835.49","10,723.85","13,132.49",Unified,177750,11474,2891,2305,200,0,109,380,957,4832,0,0,0,0,123663,99860,65,0,803,0,0,0,334,0,0,18565,0,0,4036,0,42613,0,30283,0,0,0,1387,3146,4529,132,0,370,0,0,0,0,219,0,1533,0
34,61796,8.942830188679245,2564825715.77,7,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,"356,728,761.91","26,406.71","13,509.02",Unified,508918,32602,7104,7388,1030,0,184,1221,5802,10816,0,0,0,87,252794,189786,215,18088,2488,0,0,0,897,1411,0,29482,0,0,10427,0,223522,0,171216,0,0,0,15265,0,19775,167,0,1147,0,0,0,12,960,0,6296,0
35,61804,1.3808823529411764,2083911784.43,7,SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,"339,618,872.50","31,055.22","10,935.97",Unified,430213,7081,580,5309,266,0,76,170,84,862,0,0,0,0,153279,90087,169,19454,2291,0,0,0,39,3532,0,27300,0,0,10407,0,269853,0,213431,0,0,0,6834,1846,2374,0,0,5410,0,0,0,883,2260,0,9649,0
36,63214,2.5344827586206895,102369935.81,13,SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,"15,094,511.35",645.87,"23,370.82",Unified,430213,7081,580,5309,266,0,76,170,84,862,0,0,0,0,153279,90087,169,19454,2291,0,0,0,39,3532,0,27300,0,0,10407,0,269853,0,213431,0,0,0,6834,1846,2374,0,0,5410,0,0,0,883,2260,0,9649,0
