DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,CountyMedianIncome,MedianIncome
62414,Fresno,Sanger Unified,8301,65.8,32414,"76,394"
62430,Fresno,Selma Unified,5290,87.4,32414,"48,870"
62513,Fresno,Washington Colony Elementary,374,83.9,32414,"81,131"
62539,Fresno,West Park Elementary,563,88.7,32414,"45,000"
62547,Fresno,Westside Elementary,2153,61.1,32414,"42,200"
73809,Fresno,Firebaugh-Las Deltas Unified,1990,91.4,32414,"38,427"
73965,Fresno,Central Unified,11023,70,32414,"75,962"
73999,Fresno,Kerman Unified,4766,91.1,32414,"56,825"
75127,Fresno,Mendota Unified,3582,97.7,32414,"37,914"
75234,Fresno,Golden Plains Unified,1394,91.7,32414,"49,555"
75275,Fresno,Sierra Unified,1046,86.9,32414,"84,091"
75408,Fresno,Riverdale Joint Unified,1294,87,32414,"43,028"
75598,Fresno,Caruthers Unified,1429,91.1,32414,"47,604"
76778,Fresno,Washington Unified,2629,90.8,32414,"61,163"
62554,Glenn,Capay Joint Union Elementary,83,46.4,36489,"59,464"
62596,Glenn,Lake Elementary,314,49.3,36489,"59,167"
62638,Glenn,Plaza Elementary,95,52.2,36489,"65,417"
62646,Glenn,Princeton Joint Unified,104,73.8,36489,"79,271"
62653,Glenn,Stony Creek Joint Unified,69,85.2,36489,"34,375"
62661,Glenn,Willows Unified,1110,81.4,36489,"56,144"
75481,Glenn,Orland Joint Unified,1880,83.8,36489,"64,514"
76562,Glenn,Hamilton Unified,558,78.7,36489,"41,750"
62679,Humboldt,Arcata Elementary,595,52.3,33244,"39,173"
62687,Humboldt,Northern Humboldt Union High,780,42.8,33244,"53,715"
62695,Humboldt,Big Lagoon Union Elementary,16,66.7,33244,"45,987"
62703,Humboldt,Blue Lake Union Elementary,111,62,33244,"56,042"
62729,Humboldt,Bridgeville Elementary,33,76.7,33244,"34,911"
62737,Humboldt,Cuddeback Union Elementary,85,63.9,33244,"90,500"
62745,Humboldt,Cutten Elementary,241,41.4,33244,"80,469"
62794,Humboldt,Fieldbrook Elementary,52,44.8,33244,33244
