DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,CountyMedianIncome,MedianIncome
73825,Monterey,North Monterey County Unified,3855,84.1,38130,"89,012"
75150,Monterey,Big Sur Unified,24,23.3,38130,"51,250"
75440,Monterey,Soledad Unified,4521,92.1,38130,"65,089"
75473,Monterey,Gonzales Unified,1971,87.4,38130,"56,125"
66241,Napa,Calistoga Joint Unified,667,76.8,47607,"83,889"
66258,Napa,Howell Mountain Elementary,33,37.5,47607,47607
66266,Napa,Napa Valley Unified,9098,52.8,47607,"97,515"
66282,Napa,Pope Valley Union Elementary,33,66,47607,"63,929"
66290,Napa,Saint Helena Unified,532,44.8,47607,"63,929"
66316,Nevada,Chicago Park Elementary,67,43.8,41039,"60,139"
66324,Nevada,Clear Creek Elementary,68,42,41039,"86,528"
66332,Nevada,Grass Valley Elementary,984,58.1,41039,"57,431"
66340,Nevada,Nevada City Elementary,218,31.3,41039,"68,621"
66357,Nevada,Nevada Joint Union High,1025,38.2,41039,"69,627"
66373,Nevada,Pleasant Ridge Union Elementary,356,28.6,41039,"92,939"
66407,Nevada,Union Hill Elementary,294,42.5,41039,"94,563"
66415,Nevada,Twin Ridges Elementary,69,84.1,41039,"50,833"
76877,Nevada,Penn Valley Union Elementary,279,49.5,41039,"72,041"
66423,Orange,Anaheim Elementary,13969,86.4,43800,"75,323"
66431,Orange,Anaheim Union High,23142,79.3,43800,"80,162"
66449,Orange,Brea-Olinda Unified,1636,27.3,43800,"107,299"
66456,Orange,Buena Park Elementary,3088,74.7,43800,"80,394"
66464,Orange,Capistrano Unified,13426,26.6,43800,"127,291"
66472,Orange,Centralia Elementary,2253,55.7,43800,"85,059"
66480,Orange,Cypress Elementary,1146,32.4,43800,"110,747"
66498,Orange,Fountain Valley Elementary,1495,24.2,43800,"105,422"
66506,Orange,Fullerton Elementary,6017,49.6,43800,"98,445"
66514,Orange,Fullerton Joint Union High,5879,43.6,43800,"92,131"
66522,Orange,Garden Grove Unified,29020,72.3,43800,"77,682"
66530,Orange,Huntington Beach City Elementary,1096,19.6,43800,"108,449"
66548,Orange,Huntington Beach Union High,5637,36.3,43800,"96,596"
66555,Orange,Laguna Beach Unified,315,12,43800,"137,023"
66563,Orange,La Habra City Elementary,3051,67.2,43800,"87,055"
66589,Orange,Magnolia Elementary,4508,83.7,43800,"72,050"
66597,Orange,Newport-Mesa Unified,8875,47.8,43800,"111,979"
66613,Orange,Ocean View,4150,56.6,43800,"99,956"
66621,Orange,Orange Unified,12227,45.4,43800,"108,145"
66647,Orange,Placentia-Yorba Linda Unified,11058,45.5,43800,"109,471"
66670,Orange,Santa Ana Unified,40700,87.4,43800,"78,655"
66696,Orange,Savanna Elementary,1283,65.8,43800,"79,145"
66746,Orange,Westminster,5904,68.6,43800,"70,158"
73635,Orange,Saddleback Valley Unified,7542,30.2,43800,"107,697"
73643,Orange,Tustin Unified,9199,40.4,43800,"103,161"
73650,Orange,Irvine Unified,6783,19,43800,"116,377"
73924,Orange,Los Alamitos Unified,1555,16.7,43800,"93,458"
66761,Placer,Ackerman Charter,156,27.3,57440,"83,289"
66779,Placer,Alta-Dutch Flat Union Elementary,35,42.7,57440,"81,452"
66787,Placer,Auburn Union Elementary,991,56.9,57440,"76,265"
66795,Placer,Colfax Elementary,147,43,57440,"69,120"
66803,Placer,Dry Creek Joint Elementary,2499,39.4,57440,"100,000"
66829,Placer,Eureka Union,410,13,57440,"129,112"
66837,Placer,Foresthill Union Elementary,149,38,57440,"89,141"
66845,Placer,Loomis Union Elementary,388,13.6,57440,"117,047"
66852,Placer,Newcastle Elementary,249,12.2,57440,"100,000"
66886,Placer,Placer Hills Union Elementary,194,27,57440,"96,640"
66894,Placer,Placer Union High,922,22.6,57440,"90,093"
66910,Placer,Roseville City Elementary,3118,28.3,57440,"101,706"
66928,Placer,Roseville Joint Union High,3572,29.5,57440,"104,451"
66944,Placer,Tahoe-Truckee Unified,1719,41.3,57440,"94,106"
66951,Placer,Western Placer Unified,3838,36.1,57440,"93,567"
75085,Placer,Rocklin Unified,2379,17.9,57440,"106,209"
66969,Plumas,Plumas Unified,1240,60.9,37225,"58,742"
66977,Riverside,Alvord Unified,13595,76.9,35590,"77,529"
66985,Riverside,Banning Unified,4088,92.1,35590,"51,037"
66993,Riverside,Beaumont Unified,7953,53.4,35590,"86,809"
67033,Riverside,Corona-Norco Unified,22848,44.5,35590,"107,578"
67041,Riverside,Desert Center Unified,17,85,35590,"34,792"
67058,Riverside,Desert Sands Unified,18827,69.8,35590,"64,561"
67082,Riverside,Hemet Unified,18848,87.4,35590,"52,507"
67090,Riverside,Jurupa Unified,14323,76.3,35590,"81,991"
67116,Riverside,Menifee Union Elementary,5653,46.6,35590,"82,437"
67124,Riverside,Moreno Valley Unified,25870,81.9,35590,"71,545"
67157,Riverside,Nuview Union,1668,77.3,35590,"92,283"
67173,Riverside,Palm Springs Unified,21170,97.5,35590,"56,629"
67181,Riverside,Palo Verde Unified,2728,71.7,35590,"47,982"
67199,Riverside,Perris Elementary,4441,81.6,35590,"61,915"
67207,Riverside,Perris Union High,8451,77.5,35590,"83,452"
67215,Riverside,Riverside Unified,28523,71.2,35590,"83,695"
67231,Riverside,Romoland Elementary,2934,72.2,35590,"85,781"
67249,Riverside,San Jacinto Unified,9352,81.6,35590,"58,590"
73676,Riverside,Coachella Valley Unified,16350,93.2,35590,"39,902"
75176,Riverside,Lake Elsinore Unified,14100,66.9,35590,"82,179"
75192,Riverside,Temecula Valley Unified,8076,28.5,35590,"108,126"
75200,Riverside,Murrieta Valley Unified,8287,36.1,35590,"102,323"
75242,Riverside,Val Verde Unified,16345,84.7,35590,"80,094"
67280,Sacramento,Arcohe Union Elementary,187,40.1,43348,"97,451"
67314,Sacramento,Elk Grove Unified,31224,48.8,43348,"89,800"
67322,Sacramento,Elverta Joint Elementary,151,55.7,43348,"91,250"
67330,Sacramento,Folsom-Cordova Unified,6251,31.1,43348,"98,298"
67348,Sacramento,Galt Joint Union Elementary,2044,61.3,43348,"80,657"
67355,Sacramento,Galt Joint Union High,1125,50.9,43348,"80,856"
67413,Sacramento,River Delta Joint Unified,1215,53.3,43348,"70,714"
67421,Sacramento,Robla Elementary,2101,90.1,43348,"63,867"
67439,Sacramento,Sacramento City Unified,32138,71.3,43348,"68,749"
67447,Sacramento,San Juan Unified,24949,49.1,43348,"72,337"
73973,Sacramento,Center Joint Unified,2930,70.4,43348,"82,861"
75283,Sacramento,Natomas Unified,8232,52.5,43348,"94,338"
76505,Sacramento,Twin Rivers Unified,28324,87.7,43348,"57,157"
67454,San Benito,Bitterwater-Tully Elementary,17,50,46625,"66,875"
67462,San Benito,Cienega Union Elementary,12,41.4,46625,"67,303"
67470,San Benito,Hollister,3882,65.2,46625,"91,643"
67488,San Benito,Jefferson Elementary,3,50,46625,"143,750"
67504,San Benito,North County Joint Union Elementary,322,44.2,46625,"120,515"
67520,San Benito,Panoche Elementary,5,71.4,46625,"83,125"
67538,San Benito,San Benito High,1902,56.8,46625,"95,663"
67553,San Benito,Southside Elementary,83,40.5,46625,"101,500"
67561,San Benito,Tres Pinos Union Elementary,32,52.5,46625,"141,250"
67579,San Benito,Willow Grove Union Elementary,12,100,46625,"104,792"
75259,San Benito,Aromas - San Juan Unified,564,55.5,46625,"104,946"
67587,San Bernardino,Adelanto Elementary,6013,74.9,35438,"67,836"
67595,San Bernardino,Alta Loma Elementary,1924,34,35438,"102,250"
67611,San Bernardino,Barstow Unified,4869,79.4,35438,"49,375"
67637,San Bernardino,Bear Valley Unified,1528,68.3,35438,"60,891"
67645,San Bernardino,Central Elementary,2523,59.8,35438,"82,371"
67652,San Bernardino,Chaffey Joint Union High,15189,63.7,35438,"83,665"
67678,San Bernardino,Chino Valley Unified,12051,44.1,35438,"99,974"
67686,San Bernardino,Colton Joint Unified,17896,87.1,35438,"68,370"
67694,San Bernardino,Cucamonga Elementary,1571,66.6,35438,"65,714"
67702,San Bernardino,Etiwanda Elementary,4544,33.7,35438,"120,785"
67710,San Bernardino,Fontana Unified,30049,84.7,35438,"74,365"
67736,San Bernardino,Helendale Elementary,2934,45.7,35438,"81,861"
67777,San Bernardino,Morongo Unified,6061,75.7,35438,"46,815"
67785,San Bernardino,Mountain View Elementary,1316,50.1,35438,"94,968"
67793,San Bernardino,Mt. Baldy Joint Elementary,28,32.2,35438,"102,063"
67801,San Bernardino,Needles Unified,742,76.7,35438,"37,069"
67819,San Bernardino,Ontario-Montclair,16991,88.1,35438,"66,280"
67827,San Bernardino,Oro Grande,4446,80.8,35438,"41,442"
67843,San Bernardino,Redlands Unified,14384,70.7,35438,"86,387"
67850,San Bernardino,Rialto Unified,21537,88,35438,"68,258"
67868,San Bernardino,Rim of the World Unified,1689,57.7,35438,"73,993"
67876,San Bernardino,San Bernardino City Unified,45781,89.2,35438,"55,608"
67892,San Bernardino,Trona Joint Unified,211,81.5,35438,"50,288"
67918,San Bernardino,Victor Elementary,10688,86.5,35438,"56,686"
67934,San Bernardino,Victor Valley Union High,10119,88.1,35438,"60,799"
67959,San Bernardino,Yucaipa-Calimesa Joint Unified,4844,50,35438,"76,167"
73858,San Bernardino,Baker Valley Unified,98,77.2,35438,"28,598"
73890,San Bernardino,Silver Valley Unified,1133,56.3,35438,"52,813"
73957,San Bernardino,Snowline Joint Unified,5339,72.6,35438,"67,476"
75044,San Bernardino,Hesperia Unified,16041,66.2,35438,"60,562"
75051,San Bernardino,Lucerne Valley Unified,5629,54.6,35438,"35,426"
75069,San Bernardino,Upland Unified,5893,57.6,35438,"85,091"
75077,San Bernardino,Apple Valley Unified,10230,71.2,35438,"63,031"
67967,San Diego,Alpine Union Elementary,494,32.2,43442,"103,550"
67983,San Diego,Borrego Springs Unified,2376,76.9,43442,"83,934"
67991,San Diego,Cajon Valley Union,11586,69.2,43442,"68,944"
68007,San Diego,Cardiff Elementary,94,14.9,43442,"119,144"
68023,San Diego,Chula Vista Elementary,15595,52.9,43442,"93,349"
68031,San Diego,Coronado Unified,285,10.9,43442,"114,559"
68049,San Diego,Dehesa Elementary,3745,37.7,43442,"121,000"
68056,San Diego,Del Mar Union Elementary,316,8.2,43442,"168,295"
68080,San Diego,Encinitas Union Elementary,755,15.4,43442,"144,551"
68098,San Diego,Escondido Union,12879,71.8,43442,"72,542"
68106,San Diego,Escondido Union High,6445,68,43442,"73,386"
68114,San Diego,Fallbrook Union Elementary,3565,75,43442,"76,208"
68122,San Diego,Fallbrook Union High,1543,71.6,43442,"76,210"
68130,San Diego,Grossmont Union High,12776,58,43442,"78,989"
68155,San Diego,Jamul-Dulzura Union Elementary,332,44.7,43442,"114,619"
68163,San Diego,Julian Union Elementary,1007,54.7,43442,"66,528"
68171,San Diego,Julian Union High,53,50,43442,"72,621"
68189,San Diego,Lakeside Union Elementary,2165,42.6,43442,"86,655"
68197,San Diego,La Mesa-Spring Valley,6596,57.2,43442,"79,206"
68205,San Diego,Lemon Grove,2255,71.4,43442,"71,957"
68213,San Diego,Mountain Empire Unified,2126,52.3,43442,"73,393"
68221,San Diego,National Elementary,3827,74.3,43442,"50,975"
68296,San Diego,Poway Unified,5582,15.7,43442,"129,722"
68304,San Diego,Ramona City Unified,1995,39.3,43442,"103,661"
68312,San Diego,Rancho Santa Fe Elementary,28,5.1,43442,"213,095"
68338,San Diego,San Diego Unified,66472,56.1,43442,"84,582"
68346,San Diego,San Dieguito Union High,1568,12.1,43442,"153,655"
68353,San Diego,San Pasqual Union Elementary,124,24.8,43442,"143,043"
68361,San Diego,Santee,2247,34.7,43442,"94,299"
68379,San Diego,San Ysidro Elementary,3393,76.8,43442,"68,237"
68387,San Diego,Solana Beach Elementary,255,9.4,43442,"152,656"
68395,San Diego,South Bay Union,3745,58.1,43442,"68,773"
68403,San Diego,Spencer Valley Elementary,2433,62.7,43442,"84,583"
68411,San Diego,Sweetwater Union High,22234,57.6,43442,"78,957"
68437,San Diego,Vallecitos Elementary,187,100,43442,"76,250"
68452,San Diego,Vista Unified,16019,69.9,43442,"88,634"
73551,San Diego,Carlsbad Unified,2304,21.2,43442,"104,555"
73569,San Diego,Oceanside Unified,11104,58.5,43442,"71,773"
73791,San Diego,San Marcos Unified,6608,33.2,43442,"96,439"
75416,San Diego,Warner Unified,1060,43.7,43442,"54,091"
75614,San Diego,Valley Center-Pauma Unified,2048,53,43442,"100,018"
76851,San Diego,Bonsall Unified,725,33.5,43442,"115,260"
68478,San Francisco,San Francisco Unified,30866,52.6,66004,"126,187"
68486,San Joaquin,Banta Elementary,706,36.3,39331,"120,201"
68502,San Joaquin,Escalon Unified,1433,48.2,39331,"69,327"
68544,San Joaquin,Jefferson Elementary,537,24,39331,"140,855"
68569,San Joaquin,Lincoln Unified,5329,59.6,39331,"74,446"
68577,San Joaquin,Linden Unified,1354,58.3,39331,"63,580"
68585,San Joaquin,Lodi Unified,21633,70.4,39331,"78,438"
68593,San Joaquin,Manteca Unified,16029,67.7,39331,"83,783"
68619,San Joaquin,New Hope Elementary,159,89.8,39331,"32,222"
68627,San Joaquin,New Jerusalem Elementary,3831,58.9,39331,"56,125"
68635,San Joaquin,Oak View Union Elementary,161,44.4,39331,"81,000"
68650,San Joaquin,Ripon Unified,1701,36,39331,"96,672"
68676,San Joaquin,Stockton Unified,33230,81.8,39331,"52,356"
75499,San Joaquin,Tracy Joint Unified,8379,53.8,39331,"97,920"
76760,San Joaquin,Lammersville Joint Unified,901,14.1,39331,"152,146"
68700,San Luis Obispo,Atascadero Unified,1460,33.2,45527,"82,380"
68726,San Luis Obispo,Cayucos Elementary,59,36.4,45527,"77,662"
68759,San Luis Obispo,Lucia Mar Unified,6224,62.7,45527,"87,919"
68791,San Luis Obispo,Pleasant Valley Joint Union Elementary,21,36.2,45527,"98,750"
68809,San Luis Obispo,San Luis Coastal Unified,2569,34.3,45527,"75,578"
68825,San Luis Obispo,San Miguel Joint Union,530,59,45527,"68,355"
68833,San Luis Obispo,Shandon Joint Unified,225,79.8,45527,"66,550"
68841,San Luis Obispo,Templeton Unified,498,21.5,45527,"112,308"
75457,San Luis Obispo,Paso Robles Joint Unified,3173,47.6,45527,"83,546"
75465,San Luis Obispo,Coast Unified,405,75.6,45527,"80,870"
68858,San Mateo,Bayshore Elementary,240,66.5,67870,"124,574"
68866,San Mateo,Belmont-Redwood Shores Elementary,330,7.9,67870,"175,644"
68874,San Mateo,Brisbane Elementary,99,20.9,67870,"137,396"
68882,San Mateo,Burlingame Elementary,393,11.6,67870,"151,276"
68890,San Mateo,Cabrillo Unified,1295,44.1,67870,"146,507"
68908,San Mateo,Hillsborough City Elementary,39,3.1,67870,"250,001"
68916,San Mateo,Jefferson Elementary,3277,49.3,67870,"101,443"
68924,San Mateo,Jefferson Union High,1447,30.8,67870,"112,782"
68932,San Mateo,Pacifica,555,18.5,67870,"139,040"
68940,San Mateo,La Honda-Pescadero Unified,154,56,67870,"184,226"
68957,San Mateo,Las Lomitas Elementary,72,6.5,67870,"204,865"
68965,San Mateo,Menlo Park City Elementary,220,7.9,67870,"215,739"
68973,San Mateo,Millbrae Elementary,586,26.2,67870,"132,083"
68981,San Mateo,Portola Valley Elementary,34,6.9,67870,"250,001"
68999,San Mateo,Ravenswood City Elementary,2747,91.8,67870,"96,750"
69005,San Mateo,Redwood City Elementary,4859,60.1,67870,"134,028"
69013,San Mateo,San Bruno Park Elementary,761,33.5,67870,"119,610"
69021,San Mateo,San Carlos Elementary,197,6,67870,"199,336"
69039,San Mateo,San Mateo-Foster City,3374,30.8,67870,"144,206"
69047,San Mateo,San Mateo Union High,2424,24.8,67870,"142,397"
69062,San Mateo,Sequoia Union High,3926,38,67870,"154,696"
69070,San Mateo,South San Francisco Unified,3147,38.5,67870,"111,886"
69088,San Mateo,Woodside Elementary,41,11.1,67870,"250,001"
69104,Santa Barbara,Ballard Elementary,11,8.6,40400,"175,667"
69112,Santa Barbara,Blochman Union Elementary,461,30.9,40400,"90,000"
69120,Santa Barbara,Santa Maria-Bonita,15146,90.9,40400,"73,156"
69138,Santa Barbara,Buellton Union Elementary,242,43.8,40400,"108,561"
69146,Santa Barbara,Carpinteria Unified,1516,72.5,40400,"93,625"
69161,Santa Barbara,Cold Spring Elementary,6,3.4,40400,"180,000"
69179,Santa Barbara,College Elementary,141,42,40400,"101,330"
69195,Santa Barbara,Goleta Union Elementary,1219,36.1,40400,"94,151"
69203,Santa Barbara,Guadalupe Union Elementary,1111,87.5,40400,"58,449"
69211,Santa Barbara,Hope Elementary,246,31.7,40400,"97,268"
69229,Santa Barbara,Lompoc Unified,6204,64.3,40400,"67,830"
69245,Santa Barbara,Los Olivos Elementary,37,23.9,40400,"112,875"
69252,Santa Barbara,Montecito Union Elementary,34,9.1,40400,"197,583"
69260,Santa Barbara,Orcutt Union Elementary,1895,39.1,40400,"98,417"
69310,Santa Barbara,Santa Maria Joint Union High,6883,76.9,40400,"77,401"
69328,Santa Barbara,Santa Ynez Valley Union High,248,28.7,40400,"109,406"
69336,Santa Barbara,Solvang Elementary,261,43,40400,"100,495"
69344,Santa Barbara,Vista del Mar Union,11,44,40400,"131,750"
75010,Santa Barbara,Cuyama Joint Unified,172,67.5,40400,"46,458"
76786,Santa Barbara,Santa Barbara Unified,7408,52.2,40400,"99,355"
69369,Santa Clara,Alum Rock Union Elementary,7794,79.1,69431,"90,521"
69377,Santa Clara,Berryessa Union Elementary,1886,28.9,69431,"143,125"
69385,Santa Clara,Cambrian,432,13.6,69431,"131,932"
69393,Santa Clara,Campbell Union,2792,42.2,69431,"123,703"
69401,Santa Clara,Campbell Union High,2387,27.7,69431,"130,984"
69419,Santa Clara,Cupertino Union,925,5.9,69431,"191,958"
69427,Santa Clara,East Side Union High,13430,51.8,69431,"119,864"
69435,Santa Clara,Evergreen Elementary,2699,27.6,69431,"151,835"
69450,Santa Clara,Franklin-McKinley Elementary,6629,73.8,69431,"86,894"
69468,Santa Clara,Fremont Union High,1551,14.3,69431,"173,824"
69484,Santa Clara,Gilroy Unified,6458,56.8,69431,"117,168"
69492,Santa Clara,Lakeside Joint,4,6.1,69431,"128,250"
69500,Santa Clara,Loma Prieta Joint Union Elementary,26,5.9,69431,"134,265"
69518,Santa Clara,Los Altos Elementary,240,6.7,69431,"226,856"
69526,Santa Clara,Los Gatos Union Elementary,111,4.1,69431,"199,352"
69534,Santa Clara,Los Gatos-Saratoga Union High,182,5.2,69431,"204,175"
69542,Santa Clara,Luther Burbank,415,87.4,69431,"97,885"
69575,Santa Clara,Moreland,1140,26.1,69431,"129,544"
69583,Santa Clara,Morgan Hill Unified,3273,36.8,69431,"139,350"
69591,Santa Clara,Mountain View Whisman,1392,29.3,69431,"155,000"
69609,Santa Clara,Mountain View-Los Altos Union High,712,15.6,69431,"177,354"
69617,Santa Clara,Mount Pleasant Elementary,1090,56.5,69431,"121,681"
69625,Santa Clara,Oak Grove Elementary,2717,29,69431,"125,480"
69633,Santa Clara,Orchard Elementary,268,32.9,69431,"145,880"
69641,Santa Clara,Palo Alto Unified,1178,11,69431,"182,645"
69666,Santa Clara,San Jose Unified,11783,41,69431,"123,066"
69674,Santa Clara,Santa Clara Unified,5603,37.8,69431,"151,611"
69682,Santa Clara,Saratoga Union Elementary,56,3.4,69431,"231,875"
69690,Santa Clara,Sunnyvale,1607,27,69431,"160,043"
69708,Santa Clara,Union Elementary,568,9.9,69431,"164,301"
73387,Santa Clara,Milpitas Unified,3045,29.2,69431,"148,857"
69732,Santa Cruz,Bonny Doon Union Elementary,19,17.8,45419,"118,654"
69757,Santa Cruz,Happy Valley Elementary,11,10.5,45419,"173,720"
69765,Santa Cruz,Live Oak Elementary,980,56.6,45419,"86,383"
69773,Santa Cruz,Mountain Elementary,27,20.3,45419,"125,673"
69781,Santa Cruz,Pacific Elementary,101,71.6,45419,"76,667"
69799,Santa Cruz,Pajaro Valley Unified,14649,76,45419,"84,416"
69807,Santa Cruz,San Lorenzo Valley Unified,1391,24.4,45419,"108,402"
69815,Santa Cruz,Santa Cruz City Elementary,661,39.3,45419,"96,085"
69823,Santa Cruz,Santa Cruz City High,1738,37.4,45419,"92,810"
69849,Santa Cruz,Soquel Union Elementary,482,27.6,45419,"100,000"
75432,Santa Cruz,Scotts Valley Unified,385,14.6,45419,"136,567"
69856,Shasta,Anderson Union High,849,52.4,37065,"60,988"
69872,Shasta,Bella Vista Elementary,190,56.4,37065,"79,021"
69880,Shasta,Black Butte Union Elementary,167,75.6,37065,"64,535"
69914,Shasta,Cascade Union Elementary,928,71.7,37065,"45,674"
69922,Shasta,Castle Rock Union Elementary,31,56.4,37065,"48,056"
69948,Shasta,Columbia Elementary,580,35.8,37065,"81,346"
69955,Shasta,Cottonwood Union Elementary,581,48.7,37065,"73,810"
69971,Shasta,Enterprise Elementary,2577,70,37065,"61,220"
69989,Shasta,Fall River Joint Unified,726,60.9,37065,"54,030"
69997,Shasta,French Gulch-Whiskeytown Elementary,25,83.3,37065,"45,000"
70003,Shasta,Grant Elementary,116,18.3,37065,"124,904"
70011,Shasta,Happy Valley Union Elementary,302,64.5,37065,"64,393"
70029,Shasta,"Igo, Ono, Platina Union Elementary",31,83.8,37065,"54,688"
70037,Shasta,Indian Springs Elementary,17,89.5,37065,"25,938"
70045,Shasta,Junction Elementary,123,36.6,37065,"106,742"
70052,Shasta,Millville Elementary,84,34.6,37065,"85,682"
70078,Shasta,North Cow Creek Elementary,57,23.4,37065,"106,250"
70086,Shasta,Oak Run Elementary,42,79.2,37065,"30,694"
70094,Shasta,Pacheco Union Elementary,342,53.9,37065,"79,486"
70110,Shasta,Redding Elementary,1927,63.5,37065,"57,357"
70128,Shasta,Shasta Union Elementary,54,47.4,37065,"69,511"
70136,Shasta,Shasta Union High,2035,37.2,37065,"65,003"
70169,Shasta,Whitmore Union Elementary,277,53.7,37065,"51,250"
73700,Shasta,Mountain Union Elementary,58,90.6,37065,"56,016"
75267,Shasta,Gateway Unified,1680,71.7,37065,"56,481"
70177,Sierra,Sierra-Plumas Joint Unified,184,46.6,41714,"53,975"
70185,Siskiyou,Big Springs Union Elementary,114,64,33630,"55,333"
70193,Siskiyou,Bogus Elementary,18,90,33630,"63,523"
70201,Siskiyou,Butteville Union Elementary,63,38.2,33630,"71,154"
70227,Siskiyou,Delphic Elementary,30,50.8,33630,"33,630"
70243,Siskiyou,Dunsmuir Elementary,81,100,33630,"36,638"
70250,Siskiyou,Dunsmuir Joint Union High,43,79.6,33630,"37,460"
70292,Siskiyou,Forks of Salmon Elementary,6,75,33630,"32,813"
70318,Siskiyou,Gazelle Union Elementary,38,100,33630,"49,375"
70326,Siskiyou,Grenada Elementary,89,43.6,33630,"53,641"
70334,Siskiyou,Happy Camp Union Elementary,67,69.1,33630,"33,393"
70359,Siskiyou,Hornbrook Elementary,43,84.3,33630,"58,068"
70367,Siskiyou,Junction Elementary,11,61.1,33630,"71,250"
70375,Siskiyou,Klamath River Union Elementary,10,100,33630,"30,536"
70383,Siskiyou,Little Shasta Elementary,11,68.8,33630,"57,500"
70409,Siskiyou,McCloud Union Elementary,46,78,33630,"43,839"
70417,Siskiyou,Montague Elementary,115,63.2,33630,"53,479"
70425,Siskiyou,Mt. Shasta Union Elementary,189,39.4,33630,"55,053"
70458,Siskiyou,Seiad Elementary,9,100,33630,"43,977"
70466,Siskiyou,Siskiyou Union High,328,61.1,33630,"50,219"
70482,Siskiyou,Weed Union Elementary,243,81.5,33630,"32,805"
70490,Siskiyou,Willow Creek Elementary,26,76.5,33630,"54,167"
70508,Siskiyou,Yreka Union Elementary,677,75.1,33630,"48,478"
70516,Siskiyou,Yreka Union High,401,57.5,33630,"52,169"
73684,Siskiyou,Butte Valley Unified,182,65.9,33630,"40,735"
76455,Siskiyou,Scott Valley Unified,368,60.1,33630,"54,481"
70524,Solano,Benicia Unified,1101,24.3,47787,"118,228"
70532,Solano,Dixon Unified,1685,49.5,47787,"84,740"
70540,Solano,Fairfield-Suisun Unified,11916,57.6,47787,"90,997"
70565,Solano,Travis Unified,1398,26.5,47787,"113,425"
70573,Solano,Vacaville Unified,5179,39.8,47787,"95,384"
70581,Solano,Vallejo City Unified,9550,72.1,47787,"78,104"
70599,Sonoma,Alexander Valley Union Elementary,27,23.5,47404,"120,417"
70607,Sonoma,West Sonoma County Union High,773,41.8,47404,"91,996"
70615,Sonoma,Bellevue Union,1267,82.1,47404,"75,008"
70623,Sonoma,Bennett Valley Union Elementary,203,20.5,47404,"114,813"
70649,Sonoma,Cinnabar Elementary,164,65.3,47404,"94,783"
70656,Sonoma,Cloverdale Unified,844,62.5,47404,"93,491"
70672,Sonoma,Dunham Elementary,39,25,47404,"94,297"
70680,Sonoma,Forestville Union Elementary,143,53.6,47404,"77,167"
70698,Sonoma,Fort Ross Elementary,6,54.5,47404,"56,071"
70706,Sonoma,Geyserville Unified,117,56,47404,"128,583"
70714,Sonoma,Gravenstein Union Elementary,167,22.1,47404,"100,727"
70722,Sonoma,Guerneville Elementary,258,56.1,47404,"77,614"
70730,Sonoma,Harmony Union Elementary,229,37.1,47404,"116,926"
70763,Sonoma,Horicon Elementary,50,84.7,47404,"75,066"
70789,Sonoma,Kenwood,30,22.9,47404,"102,917"
70797,Sonoma,Liberty Elementary,757,50.9,47404,"109,083"
70805,Sonoma,Mark West Union Elementary,426,32.8,47404,"86,460"
70813,Sonoma,Monte Rio Union Elementary,61,98.4,47404,"78,558"
70821,Sonoma,Montgomery Elementary,13,59.1,47404,"62,125"
70839,Sonoma,Oak Grove Union Elementary,462,35.7,47404,"115,954"
70847,Sonoma,Old Adobe Union,622,30.2,47404,"108,132"
70854,Sonoma,Petaluma City Elementary,905,37.3,47404,"90,458"
70862,Sonoma,Petaluma Joint Union High,2170,41.5,47404,"100,320"
70870,Sonoma,Piner-Olivet Union Elementary,561,45.2,47404,"110,485"
70888,Sonoma,Kashia Elementary,16,100,47404,"70,313"
70896,Sonoma,Rincon Valley Union Elementary,1139,36.8,47404,"99,458"
70904,Sonoma,Roseland,2530,88.1,47404,"62,388"
70912,Sonoma,Santa Rosa Elementary,2855,61.4,47404,"77,801"
70920,Sonoma,Santa Rosa High,5382,49.7,47404,"85,377"
70938,Sonoma,Sebastopol Union Elementary,342,41.9,47404,"97,654"
70953,Sonoma,Sonoma Valley Unified,2146,54.3,47404,"99,947"
70961,Sonoma,Twin Hills Union Elementary,284,25.8,47404,"110,548"
70979,Sonoma,Two Rock Union,53,43.1,47404,"85,486"
70995,Sonoma,Waugh Elementary,108,13.4,47404,"127,928"
71001,Sonoma,West Side Union Elementary,52,33.1,47404,"102,500"
71019,Sonoma,Wilmar Union Elementary,53,24.4,47404,"90,417"
71035,Sonoma,Wright Elementary,912,69.7,47404,"88,199"
73882,Sonoma,Cotati-Rohnert Park Unified,2776,45.4,47404,"84,872"
75358,Sonoma,Windsor Unified,2594,54.2,47404,"122,800"
75390,Sonoma,Healdsburg Unified,752,57.1,47404,"98,906"
71043,Stanislaus,Ceres Unified,12152,82.9,36771,"64,550"
71050,Stanislaus,Chatom Union,416,72.6,36771,"52,316"
71068,Stanislaus,Denair Unified,843,64,36771,"104,587"
71076,Stanislaus,Empire Union Elementary,2258,78.8,36771,"66,794"
71084,Stanislaus,Gratton Elementary,32,22.4,36771,"95,000"
71092,Stanislaus,Hart-Ransom Union Elementary,531,44,36771,"98,194"
71100,Stanislaus,Hickman Community Charter,346,32.7,36771,"81,944"
71134,Stanislaus,Keyes Union,733,66.5,36771,"54,550"
71142,Stanislaus,Knights Ferry Elementary,27,18.8,36771,"60,250"
71167,Stanislaus,Modesto City Elementary,12937,84.7,36771,"54,905"
71175,Stanislaus,Modesto City High,10699,67,36771,"66,808"
71209,Stanislaus,Paradise Elementary,175,91.6,36771,"79,250"
