SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative
131698,Rancho Campana High,72546,Oxnard Union High,56,Ventura,835,354,11,50,298,*
434803,Las Plumas High,61515,Oroville Union High,4,Butte,1340,706,28,90,329,109
4530804,Anderson High,69856,Anderson Union High,45,Shasta,569,333,*,32,125,43
4137592,Thornton High,68924,Jefferson Union High,41,San Mateo,151,16,*,*,87,*
1933951,Hawthorne High,64352,Centinela Valley Union High,19,Los Angeles,1861,20,173,18,1591,*
107136,Whitmore Charter High,71043,Ceres Unified,50,Stanislaus,127,58,*,*,49,*
139915,KIPP Esperanza High,69062,Sequoia Union High,41,San Mateo,111,*,*,*,108,*
107151,"Escuela Popular/Center for Training and Careers, Family Learning",69427,East Side Union High,43,Santa Clara,1143,*,*,*,1131,*
934554,Independence Continuation,61853,El Dorado Union High,9,El Dorado,142,80,*,*,45,*
3130010,North Tahoe High,66944,Tahoe-Truckee Unified,31,Placer,457,244,*,*,190,*
107177,Crawford High,68338,San Diego Unified,37,San Diego,1190,31,308,236,564,*
3130036,Phoenix High (Continuation),66951,Western Placer Unified,31,Placer,138,61,*,*,56,*
115386,Civicorps Corpsmember Academy,61259,Oakland Unified,1,Alameda,103,*,45,*,44,*
1532605,Foothill High,63529,Kern High,15,Kern,2224,134,60,*,1993,*
115402,Edward C. Merlo Institute of Environmental Studies,68676,Stockton Unified,39,San Joaquin,219,*,*,*,192,*
1032911,Herbert Hoover High,62166,Fresno Unified,10,Fresno,2194,280,233,254,1322,16
1934033,Hollywood Senior High,64733,Los Angeles Unified,19,Los Angeles,1371,159,159,42,957,*
107219,San Diego Science and Technology,68338,San Diego Unified,37,San Diego,870,48,87,13,678,*
3130077,Sierra High (Continuation),66944,Tahoe-Truckee Unified,31,Placer,44,16,*,*,24,*
123620,Mountain Vista High,65243,Madera Unified,20,Madera,184,*,*,*,172,*
2032357,Chowchilla Union High,65201,Chowchilla Union High,20,Madera,1134,315,11,29,745,*
1630953,Avenal High,73932,Reef-Sunset Unified,16,Kings,776,21,*,*,752,*
131821,Collegiate Charter High School of Los Angeles,64733,Los Angeles Unified,19,Los Angeles,213,*,17,*,193,*
5735154,River City High,72694,Washington Unified,57,Yolo,2303,709,128,256,1032,19
115444,Canyon Ridge High,75044,Hesperia Unified,36,San Bernardino,332,48,29,*,252,*
115451,Major General Raymond Murray High,68452,Vista Unified,37,San Diego,301,24,*,*,254,*
3638012,Victor Valley High,67934,Victor Valley Union High,36,San Bernardino,2085,139,406,22,1399,*
4236030,Santa Maria High,69310,Santa Maria Joint Union High,42,Santa Barbara,3202,66,*,*,3062,13
2335487,Willits High,65623,Willits Unified,23,Mendocino,419,175,*,*,151,28
3433216,Folsom High,67330,Folsom-Cordova Unified,34,Sacramento,2679,1297,69,594,399,*
1934082,Herbert Hoover High,64568,Glendale Unified,19,Los Angeles,1573,959,19,77,396,*
3130119,Independence High (Alternative),66928,Roseville Joint Union High,31,Placer,299,190,14,14,53,*
4334371,Los Gatos High,69534,Los Gatos-Saratoga Union High,43,Santa Clara,2209,1345,*,313,225,*
107300,City Arts and Tech High,68478,San Francisco Unified,38,San Francisco,261,15,36,*,150,*
3130150,Rocklin High,75085,Rocklin Unified,31,Placer,2230,1453,40,206,323,*
3433265,Foothill High,76505,Twin Rivers Unified,34,Sacramento,1285,260,245,124,531,*
4137790,Westmoor High,68924,Jefferson Union High,41,San Mateo,1423,96,*,322,346,*
3130176,Woodcreek High,66928,Roseville Joint Union High,31,Placer,2163,1309,68,185,414,17
3130184,Granite Bay High,66928,Roseville Joint Union High,31,Placer,2074,1290,47,285,247,28
1934157,Huntington Park Senior High,64733,Los Angeles Unified,19,Los Angeles,1542,*,20,*,1506,*
4334421,Lynbrook High,69468,Fremont Union High,43,Santa Clara,1959,146,*,1565,59,*
3031895,Edison High,66548,Huntington Beach Union High,30,Orange,2383,1432,20,268,430,*
3130200,Victory High,75085,Rocklin Unified,31,Placer,125,84,*,*,29,*
140129,Ednovate College Prep 7,64733,Los Angeles Unified,19,Los Angeles,135,*,25,*,105,*
131938,Clear Passage Educational Center,64725,Long Beach Unified,19,Los Angeles,64,*,*,*,51,*
131953,Lassen Community Day,64139,Lassen Union High,18,Lassen,29,12,*,*,*,*
3031929,El Dorado High,66647,Placentia-Yorba Linda Unified,30,Orange,2056,891,29,277,730,*
4334462,Monta Vista High,69468,Fremont Union High,43,Santa Clara,2052,205,*,1605,74,*
4334470,Milpitas High,73387,Milpitas Unified,43,Santa Clara,3263,125,63,1651,644,*
3031945,El Camino Real Continuation High,66647,Placentia-Yorba Linda Unified,30,Orange,275,56,*,*,202,*
123786,Credo High,73882,Cotati-Rohnert Park Unified,49,Sonoma,429,294,*,*,56,*
5637004,Thousand Oaks High,73759,Conejo Valley Unified,56,Ventura,2056,1091,21,104,687,*
3031952,El Modena High,66621,Orange Unified,30,Orange,2188,477,23,112,1478,*
3834769,O'Connell (John) High,68478,San Francisco Unified,38,San Francisco,557,37,61,46,337,*
123794,Summit Public School: Tahoma,10439,Santa Clara County Office of Education,43,Santa Clara,474,89,13,67,246,*
1934231,Inglewood High,64634,Inglewood Unified,19,Los Angeles,876,*,291,*,554,*
4334488,Central High (Continuation),69583,Morgan Hill Unified,43,Santa Clara,184,27,*,*,140,*
123802,Health Careers Academy,68676,Stockton Unified,39,San Joaquin,459,19,25,39,343,*
131995,B. Roberto Cruz Leadership Academy,69427,East Side Union High,43,Santa Clara,261,*,*,*,253,*
1934249,Inglewood Continuation High,64634,Inglewood Unified,19,Los Angeles,143,*,43,*,94,*
132027,University Preparatory Value High,64733,Los Angeles Unified,19,Los Angeles,481,*,*,15,439,*
730044,Northgate High,61754,Mt. Diablo Unified,7,Contra Costa,1528,786,24,214,227,*
3032000,Estancia High,66597,Newport-Mesa Unified,30,Orange,1178,186,*,31,916,*
730051,California High,61804,San Ramon Valley Unified,7,Contra Costa,2965,1141,56,1055,354,*
3138500,Tahoe Truckee High,66944,Tahoe-Truckee Unified,31,Placer,843,515,*,*,275,*
3130309,Adelante High (Continuation),66928,Roseville Joint Union High,31,Placer,230,94,13,*,98,*
3630019,Eric Birch High (Continuation),67710,Fontana Unified,36,San Bernardino,320,*,28,*,274,*
4932554,Healdsburg High,75390,Healdsburg Unified,49,Sonoma,526,220,*,*,288,*
115667,Oakland International High,61259,Oakland Unified,1,Alameda,388,16,18,46,286,*
3630035,Don Antonio Lugo High,67678,Chino Valley Unified,36,San Bernardino,1724,206,26,36,1422,*
3335130,Palm Springs High,67173,Palm Springs Unified,33,Riverside,1651,256,117,22,1113,11
107482,San Diego Metro Career and Tech,68338,San Diego Unified,37,San Diego,142,60,*,*,56,*
5030879,Ceres High,71043,Ceres Unified,50,Stanislaus,1832,255,38,74,1413,*
730101,Live Oak High (Continuation),61648,Antioch Unified,7,Contra Costa,187,18,52,*,106,*
3630076,Baker High,73858,Baker Valley Unified,36,San Bernardino,41,*,*,*,35,*
3433471,Galt High,67355,Galt Joint Union High,34,Sacramento,1060,277,*,14,716,*
107524,Acalanes Center for Independent Study,61630,Acalanes Union High,7,Contra Costa,56,40,*,*,*,*
3630100,Goodwill High,67934,Victor Valley Union High,36,San Bernardino,121,*,29,*,86,*
132126,Bert Corona Charter High,64733,Los Angeles Unified,19,Los Angeles,197,*,*,*,193,*
1934371,Thomas Jefferson Senior High,64733,Los Angeles Unified,19,Los Angeles,749,*,61,*,673,*
132134,Phillip J Patino School of Entrepreneurship,62166,Fresno Unified,10,Fresno,268,41,21,*,192,*
3032109,Foothill High,73643,Tustin Unified,30,Orange,2447,979,20,210,1086,*
140343,Oceanside Unified School District Adult Transition Program,73569,Oceanside Unified,37,San Diego,61,*,*,*,38,*
4236345,Santa Ynez Valley Union High,69328,Santa Ynez Valley Union High,42,Santa Barbara,887,419,*,*,408,*
4138053,Woodside High,69062,Sequoia Union High,41,San Mateo,1953,807,30,65,940,*
730184,Black Diamond High (Continuation),61788,Pittsburg Unified,7,Contra Costa,289,14,63,*,198,*
3630159,Milor Continuation High,67850,Rialto Unified,36,San Bernardino,313,11,38,*,256,*
1934421,Bowman (Jereann) High (Continuation),65136,William S. Hart Union High,19,Los Angeles,413,76,13,*,299,*
140376,Casterlin High,63040,Southern Humboldt Joint Unified,12,Humboldt,11,*,*,*,*,*
5137500,Sutter High,71449,Sutter Union High,51,Sutter,757,468,*,23,206,13
3032158,Fountain Valley High,66548,Huntington Beach Union High,30,Orange,3420,808,27,1862,493,*
5432414,Lindsay Senior High,71993,Lindsay Unified,54,Tulare,1113,27,*,15,1061,*
1934454,David Starr Jordan Senior High,64733,Los Angeles Unified,19,Los Angeles,886,*,158,*,711,*
132225,Castro Valley High,61150,Castro Valley Unified,1,Alameda,2730,743,146,788,627,*
107649,Countryside Community Day,72249,Tulare Joint Union High,54,Tulare,34,*,*,*,24,*
1934470,Jordan High,64725,Long Beach Unified,19,Los Angeles,2304,36,324,84,1744,*
4334728,Mountain View High,69609,Mountain View-Los Altos Union High,43,Santa Clara,2328,926,30,531,517,*
132233,John Henry High,77354,SBE - John Henry High,7,Contra Costa,298,*,*,*,288,*
3630217,Black Rock Alternative/Continuation,67777,Morongo Unified,36,San Bernardino,162,83,11,*,61,*
4334736,Alta Vista High,69609,Mountain View-Los Altos Union High,43,Santa Clara,115,17,*,*,84,*
2835601,Napa High,66266,Napa Valley Unified,28,Napa,1971,496,12,17,1384,*
3630225,Alta Loma High,67652,Chaffey Joint Union High,36,San Bernardino,2583,756,149,102,1438,*
107672,Sequoia High,65789,Merced Union High,24,Merced,156,27,*,*,110,*
3630233,Serrano High,73957,Snowline Joint Unified,36,San Bernardino,2226,734,95,28,1207,*
2434207,Los Banos High,65755,Los Banos Unified,24,Merced,1611,274,25,23,1252,*
3630241,Mountain High,67868,Rim of the World Unified,36,San Bernardino,69,42,*,*,24,*
730283,Acalanes High,61630,Acalanes Union High,7,Contra Costa,1330,922,*,132,124,*
132274,Alpha Cindy Avitia High,69427,East Side Union High,43,Santa Clara,527,*,*,25,484,*
730291,Middle College High,61796,West Contra Costa Unified,7,Contra Costa,298,15,27,72,145,*
1230010,Osprey Learning Center,63040,Southern Humboldt Joint Unified,12,Humboldt,19,14,*,*,*,*
107706,Blue Heron,64022,Konocti Unified,17,Lake,9,*,*,*,*,*
132282,Ednovate - East College Prep,64733,Los Angeles Unified,19,Los Angeles,402,*,12,*,377,*
3630266,Educational Training Center,67801,Needles Unified,36,San Bernardino,34,15,*,*,14,*
3630274,Silver Valley High,73890,Silver Valley Unified,36,San Bernardino,375,139,37,*,143,*
3630282,Calico Continuation High,73890,Silver Valley Unified,36,San Bernardino,50,21,*,*,19,*
107722,River Valley High,71464,Yuba City Unified,51,Sutter,2004,372,34,631,838,*
1230028,Captain John Continuation High,62901,Klamath-Trinity Joint Unified,12,Humboldt,71,*,*,*,*,58
1033430,Kerman High,73999,Kerman Unified,10,Fresno,1692,139,18,90,1427,*
1934553,Mark Keppel High,75713,Alhambra Unified,19,Los Angeles,2256,31,*,1581,504,*
1230044,Pacific Coast High (Continuation),62687,Northern Humboldt Union High,12,Humboldt,69,34,*,*,16,*
1230051,Mad River High (Continuation),62687,Northern Humboldt Union High,12,Humboldt,48,28,*,*,*,*
132324,Eunice Sato Academy of Math & Science,64725,Long Beach Unified,19,Los Angeles,430,103,26,64,154,*
124131,California Preparatory Academy,66464,Capistrano Unified,30,Orange,298,231,*,11,33,*
3630308,San Andreas High,67876,San Bernardino City Unified,36,San Bernardino,555,26,76,*,430,*
107755,Port of Los Angeles High,64733,Los Angeles Unified,19,Los Angeles,1021,54,30,13,856,*
4130027,Pilarcitos Alternative High (Continuation),68890,Cabrillo Unified,41,San Mateo,41,12,*,*,28,*
3638509,Yucaipa High,67959,Yucaipa-Calimesa Joint Unified,36,San Bernardino,2943,1485,43,45,1286,14
730358,Prospect High (Continuation),61754,Mt. Diablo Unified,7,Contra Costa,104,33,*,*,53,*
4334850,Mt. Madonna High,69484,Gilroy Unified,43,Santa Clara,305,18,*,*,277,*
1230085,Mattole Triple Junction High,75382,Mattole Unified,12,Humboldt,13,*,*,*,*,*
107797,Heritage High,61721,Liberty Union High,7,Contra Costa,2742,1071,261,217,743,11
1434901,Lone Pine High,63289,Lone Pine Unified,14,Inyo,111,21,*,*,68,12
3630365,Chaparral High,73957,Snowline Joint Unified,36,San Bernardino,283,82,13,*,158,*
115998,San Pasqual Academy,10371,San Diego County Office of Education,37,San Diego,79,11,30,*,33,*
3630373,Etiwanda High,67652,Chaffey Joint Union High,36,San Bernardino,3745,661,553,277,1882,*
4334900,Mt. Pleasant High,69427,East Side Union High,43,Santa Clara,1368,48,28,213,977,*
730424,Summit High (Continuation),61754,Mt. Diablo Unified,7,Contra Costa,61,16,*,*,34,*
3433794,Grant Union High,76505,Twin Rivers Unified,34,Sacramento,2248,111,393,329,1194,19
3630407,Hesperia High,75044,Hesperia Unified,36,San Bernardino,2312,232,192,25,1822,*
730440,Vicente Martinez High,61739,Martinez Unified,7,Contra Costa,95,43,*,*,33,*
1934678,Lakewood High,64725,Long Beach Unified,19,Los Angeles,3246,329,602,255,1787,*
3630423,Apple Valley High,75077,Apple Valley Unified,36,San Bernardino,2204,882,135,51,1069,*
3638616,Yucca Valley High,67777,Morongo Unified,36,San Bernardino,1468,827,68,20,502,13
730457,Freedom High,61721,Liberty Union High,7,Contra Costa,2541,746,262,92,1184,*
730465,Deer Valley High,61648,Antioch Unified,7,Contra Costa,1992,215,610,114,741,15
3630456,Hillside High,75069,Upland Unified,36,San Bernardino,207,30,30,*,134,*
1934728,La Mirada High,64840,Norwalk-La Mirada Unified,19,Los Angeles,1937,319,46,120,1306,*
3630472,Mojave High,75044,Hesperia Unified,36,San Bernardino,382,39,36,*,295,*
2131340,Sir Francis Drake High,65482,Tamalpais Union High,21,Marin,1374,1027,*,37,196,*
107920,Lakeside High,75176,Lake Elsinore Unified,33,Riverside,1877,287,60,23,1416,*
3630480,Citrus High (Continuation),67710,Fontana Unified,36,San Bernardino,431,11,17,*,394,*
435602,Oroville High,61515,Oroville Union High,4,Butte,1030,428,65,216,191,74
1533330,Highland High,63529,Kern High,15,Kern,2655,440,158,52,1918,18
4130217,Aragon High,69047,San Mateo Union High,41,San Mateo,1756,481,*,442,465,*
730549,Alhambra Senior High,61739,Martinez Unified,7,Contra Costa,1246,544,31,42,418,*
3032505,Fullerton Union High,66514,Fullerton Joint Union High,30,Orange,1977,375,32,105,1287,*
3630522,Ruben S. Ayala High,67678,Chino Valley Unified,36,San Bernardino,2723,493,99,762,1058,*
3630530,Zupanic High,67850,Rialto Unified,36,San Bernardino,129,*,11,*,110,*
132548,IDEA Center,68130,Grossmont Union High,37,San Diego,226,114,19,*,78,*
124362,Valley Academy of Arts and Sciences,64733,Los Angeles Unified,19,Los Angeles,1011,224,39,52,603,*
132555,Conservatory of Vocal/Instrumental Arts High,61259,Oakland Unified,1,Alameda,59,*,33,*,20,*
730572,Independence High,61721,Liberty Union High,7,Contra Costa,264,131,16,*,95,*
1934801,La Puente High,73445,Hacienda la Puente Unified,19,Los Angeles,1094,*,*,19,1048,*
124370,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,64733,Los Angeles Unified,19,Los Angeles,395,12,14,*,357,*
5432786,Monache High,75523,Porterville Unified,54,Tulare,2183,336,*,53,1675,16
5031380,Grace M. Davis High,71175,Modesto City High,50,Stanislaus,2161,418,72,124,1297,*
3630555,Fontana A. B. Miller High,67710,Fontana Unified,36,San Bernardino,2293,82,99,14,2050,*
1033695,Kingsburg High,62257,Kingsburg Joint Union High,10,Fresno,1141,390,*,29,696,*
3630563,Lucerne Valley High,75051,Lucerne Valley Unified,36,San Bernardino,229,96,*,*,115,*
1730019,Natural High (Continuation),64030,Lakeport Unified,17,Lake,53,23,*,*,13,*
124388,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,64733,Los Angeles Unified,19,Los Angeles,531,*,*,*,516,*
730598,Hercules High,61796,West Contra Costa Unified,7,Contra Costa,809,39,163,164,189,*
1033703,Kings Canyon Continuation,62265,Kings Canyon Joint Unified,10,Fresno,262,*,*,*,249,*
3630571,Rancho Cucamonga High,67652,Chaffey Joint Union High,36,San Bernardino,3580,810,488,402,1547,*
1730027,Carle (William C.) High (Continuation),64022,Konocti Unified,17,Lake,95,38,*,*,41,*
124396,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),64733,Los Angeles Unified,19,Los Angeles,457,11,*,*,438,*
1730035,Loconoma Valley High,64055,Middletown Unified,17,Lake,24,17,*,*,*,*
