,SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
631259,631259,Colusa High,61598,Colusa Unified,6,Colusa
5530076,5530076,Tioga High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne
1933795,1933795,Ulysses S. Grant Senior High,64733,Los Angeles Unified,19,Los Angeles
5530084,5530084,Don Pedro High,75184,Big Oak Flat-Groveland Unified,55,Tuolumne
5530092,5530092,South Fork High,72413,Summerville Union High,55,Tuolumne
5530100,5530100,Cold Springs High,72413,Summerville Union High,55,Tuolumne
106997,106997,Orthopaedic Hospital,64733,Los Angeles Unified,19,Los Angeles
107003,107003,Northridge Academy High,64733,Los Angeles Unified,19,Los Angeles
3990025,3990025,N.A. Chaderjian High,32276,California Education Authority (CEA) Headquarters,34,Sacramento
737809,737809,Ygnacio Valley High,61754,Mt. Diablo Unified,7,Contra Costa
107029,107029,San Diego International Studies,68338,San Diego Unified,37,San Diego
1933852,1933852,Alexander Hamilton Senior High,64733,Los Angeles Unified,19,Los Angeles
3334687,3334687,Nueva Vista Continuation High,67090,Jurupa Unified,33,Riverside
4334116,4334116,Los Altos High,69609,Mountain View-Los Altos Union High,43,Santa Clara
115238,115238,ARISE High,61259,Oakland Unified,1,Alameda
139816,139816,Griffin Academy High,70581,Vallejo City Unified,48,Solano
107052,107052,San Diego Business/Leadership,68338,San Diego Unified,37,San Diego
115253,115253,Discovery Charter Preparatory #2,64733,Los Angeles Unified,19,Los Angeles
4137535,4137535,Terra Nova High,68924,Jefferson Union High,41,San Mateo
139840,139840,West Park High,66928,Roseville Joint Union High,31,Placer
5530175,5530175,Mountain High,72413,Summerville Union High,55,Tuolumne
2433605,2433605,Livingston High,65789,Merced Union High,24,Merced
107078,107078,Kearny Digital Media & Design,68338,San Diego Unified,37,San Diego
4530762,4530762,North Valley High,69856,Anderson Union High,45,Shasta
1933902,1933902,William S. Hart High,65136,William S. Hart Union High,19,Los Angeles
107086,107086,Kearny School of Biomedical Science and Technology,68338,San Diego Unified,37,San Diego
107094,107094,Kearny College Connections,68338,San Diego Unified,37,San Diego
1335900,1335900,Imperial High,63164,Imperial Unified,13,Imperial
107102,107102,Kearny Eng Innov & Design,68338,San Diego Unified,37,San Diego
107110,107110,Six Rivers Charter High,62687,Northern Humboldt Union High,12,Humboldt
836205,836205,Sunset High,61820,Del Norte County Unified,8,Del Norte
131698,131698,Rancho Campana High,72546,Oxnard Union High,56,Ventura
434803,434803,Las Plumas High,61515,Oroville Union High,4,Butte
4530804,4530804,Anderson High,69856,Anderson Union High,45,Shasta
4137592,4137592,Thornton High,68924,Jefferson Union High,41,San Mateo
1933951,1933951,Hawthorne High,64352,Centinela Valley Union High,19,Los Angeles
107136,107136,Whitmore Charter High,71043,Ceres Unified,50,Stanislaus
139915,139915,KIPP Esperanza High,69062,Sequoia Union High,41,San Mateo
107151,107151,"Escuela Popular/Center for Training and Careers, Family Learning",69427,East Side Union High,43,Santa Clara
934554,934554,Independence Continuation,61853,El Dorado Union High,9,El Dorado
3130010,3130010,North Tahoe High,66944,Tahoe-Truckee Unified,31,Placer
107177,107177,Crawford High,68338,San Diego Unified,37,San Diego
3130036,3130036,Phoenix High (Continuation),66951,Western Placer Unified,31,Placer
115386,115386,Civicorps Corpsmember Academy,61259,Oakland Unified,1,Alameda
1532605,1532605,Foothill High,63529,Kern High,15,Kern
115402,115402,Edward C. Merlo Institute of Environmental Studies,68676,Stockton Unified,39,San Joaquin
1032911,1032911,Herbert Hoover High,62166,Fresno Unified,10,Fresno
1934033,1934033,Hollywood Senior High,64733,Los Angeles Unified,19,Los Angeles
107219,107219,San Diego Science and Technology,68338,San Diego Unified,37,San Diego
3130077,3130077,Sierra High (Continuation),66944,Tahoe-Truckee Unified,31,Placer
123620,123620,Mountain Vista High,65243,Madera Unified,20,Madera
2032357,2032357,Chowchilla Union High,65201,Chowchilla Union High,20,Madera
1630953,1630953,Avenal High,73932,Reef-Sunset Unified,16,Kings
131821,131821,Collegiate Charter High School of Los Angeles,64733,Los Angeles Unified,19,Los Angeles
5735154,5735154,River City High,72694,Washington Unified,57,Yolo
115444,115444,Canyon Ridge High,75044,Hesperia Unified,36,San Bernardino
115451,115451,Major General Raymond Murray High,68452,Vista Unified,37,San Diego
3638012,3638012,Victor Valley High,67934,Victor Valley Union High,36,San Bernardino
4236030,4236030,Santa Maria High,69310,Santa Maria Joint Union High,42,Santa Barbara
2335487,2335487,Willits High,65623,Willits Unified,23,Mendocino
3433216,3433216,Folsom High,67330,Folsom-Cordova Unified,34,Sacramento
1934082,1934082,Herbert Hoover High,64568,Glendale Unified,19,Los Angeles
3130119,3130119,Independence High (Alternative),66928,Roseville Joint Union High,31,Placer
4334371,4334371,Los Gatos High,69534,Los Gatos-Saratoga Union High,43,Santa Clara
107300,107300,City Arts and Tech High,68478,San Francisco Unified,38,San Francisco
3130150,3130150,Rocklin High,75085,Rocklin Unified,31,Placer
3433265,3433265,Foothill High,76505,Twin Rivers Unified,34,Sacramento
4137790,4137790,Westmoor High,68924,Jefferson Union High,41,San Mateo
3130176,3130176,Woodcreek High,66928,Roseville Joint Union High,31,Placer
3130184,3130184,Granite Bay High,66928,Roseville Joint Union High,31,Placer
1934157,1934157,Huntington Park Senior High,64733,Los Angeles Unified,19,Los Angeles
4334421,4334421,Lynbrook High,69468,Fremont Union High,43,Santa Clara
3031895,3031895,Edison High,66548,Huntington Beach Union High,30,Orange
3130200,3130200,Victory High,75085,Rocklin Unified,31,Placer
140129,140129,Ednovate College Prep 7,64733,Los Angeles Unified,19,Los Angeles
131938,131938,Clear Passage Educational Center,64725,Long Beach Unified,19,Los Angeles
131953,131953,Lassen Community Day,64139,Lassen Union High,18,Lassen
3031929,3031929,El Dorado High,66647,Placentia-Yorba Linda Unified,30,Orange
4334462,4334462,Monta Vista High,69468,Fremont Union High,43,Santa Clara
4334470,4334470,Milpitas High,73387,Milpitas Unified,43,Santa Clara
3031945,3031945,El Camino Real Continuation High,66647,Placentia-Yorba Linda Unified,30,Orange
123786,123786,Credo High,73882,Cotati-Rohnert Park Unified,49,Sonoma
5637004,5637004,Thousand Oaks High,73759,Conejo Valley Unified,56,Ventura
3031952,3031952,El Modena High,66621,Orange Unified,30,Orange
3834769,3834769,O'Connell (John) High,68478,San Francisco Unified,38,San Francisco
123794,123794,Summit Public School: Tahoma,10439,Santa Clara County Office of Education,43,Santa Clara
1934231,1934231,Inglewood High,64634,Inglewood Unified,19,Los Angeles
4334488,4334488,Central High (Continuation),69583,Morgan Hill Unified,43,Santa Clara
123802,123802,Health Careers Academy,68676,Stockton Unified,39,San Joaquin
131995,131995,B. Roberto Cruz Leadership Academy,69427,East Side Union High,43,Santa Clara
1934249,1934249,Inglewood Continuation High,64634,Inglewood Unified,19,Los Angeles
132027,132027,University Preparatory Value High,64733,Los Angeles Unified,19,Los Angeles
730044,730044,Northgate High,61754,Mt. Diablo Unified,7,Contra Costa
3032000,3032000,Estancia High,66597,Newport-Mesa Unified,30,Orange
730051,730051,California High,61804,San Ramon Valley Unified,7,Contra Costa
3138500,3138500,Tahoe Truckee High,66944,Tahoe-Truckee Unified,31,Placer
3130309,3130309,Adelante High (Continuation),66928,Roseville Joint Union High,31,Placer
3630019,3630019,Eric Birch High (Continuation),67710,Fontana Unified,36,San Bernardino
4932554,4932554,Healdsburg High,75390,Healdsburg Unified,49,Sonoma
115667,115667,Oakland International High,61259,Oakland Unified,1,Alameda
3630035,3630035,Don Antonio Lugo High,67678,Chino Valley Unified,36,San Bernardino
3335130,3335130,Palm Springs High,67173,Palm Springs Unified,33,Riverside
107482,107482,San Diego Metro Career and Tech,68338,San Diego Unified,37,San Diego
5030879,5030879,Ceres High,71043,Ceres Unified,50,Stanislaus
730101,730101,Live Oak High (Continuation),61648,Antioch Unified,7,Contra Costa
3630076,3630076,Baker High,73858,Baker Valley Unified,36,San Bernardino
3433471,3433471,Galt High,67355,Galt Joint Union High,34,Sacramento
107524,107524,Acalanes Center for Independent Study,61630,Acalanes Union High,7,Contra Costa
3630100,3630100,Goodwill High,67934,Victor Valley Union High,36,San Bernardino
132126,132126,Bert Corona Charter High,64733,Los Angeles Unified,19,Los Angeles
1934371,1934371,Thomas Jefferson Senior High,64733,Los Angeles Unified,19,Los Angeles
132134,132134,Phillip J Patino School of Entrepreneurship,62166,Fresno Unified,10,Fresno
3032109,3032109,Foothill High,73643,Tustin Unified,30,Orange
140343,140343,Oceanside Unified School District Adult Transition Program,73569,Oceanside Unified,37,San Diego
