,SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
4335428,4335428,William C. Overfelt High,69427,East Side Union High,43,Santa Clara
3737418,3737418,San Dieguito HS Academy,68346,San Dieguito Union High,37,San Diego
5130059,5130059,Valley Oak Continuation High,71399,Live Oak Unified,51,Sutter
108365,108365,Segerstrom High,66670,Santa Ana Unified,30,Orange
100180,100180,Mountain Oaks High,75606,Chawanakee Unified,20,Madera
3032919,3032919,Hillview High (Continuation),73643,Tustin Unified,30,Orange
100198,100198,Golden Valley High,63529,Kern High,15,Kern
132969,132969,Compton Early College High,73437,Compton Unified,19,Los Angeles
116590,116590,Harmony Magnet Academy,75523,Porterville Unified,54,Tulare
3032943,3032943,Huntington Beach High,66548,Huntington Beach Union High,30,Orange
1230705,1230705,Arcata High,62687,Northern Humboldt Union High,12,Humboldt
108407,108407,Eastside High,64246,Antelope Valley Union High,19,Los Angeles
5031802,5031802,Thomas Downey High,71175,Modesto City High,50,Stanislaus
3434370,3434370,Highlands High,76505,Twin Rivers Unified,34,Sacramento
1632140,1632140,Kings Lake Education Center,63891,Corcoran Joint Unified,16,Kings
1935246,1935246,Los Altos High,73445,Hacienda la Puente Unified,19,Los Angeles
5433230,5433230,Orosi High,71860,Cutler-Orosi Joint Unified,54,Tulare
133009,133009,Brenkwitz High,61192,Hayward Unified,1,Alameda
1533843,1533843,Maricopa High,63628,Maricopa Unified,15,Kern
100255,100255,Desert Mirage High,73676,Coachella Valley Unified,33,Riverside
116640,116640,Dunlap Leadership Academy,62265,Kings Canyon Joint Unified,10,Fresno
124834,124834,Sierra Academy of Expeditionary Learning,66357,Nevada Joint Union High,29,Nevada
3631017,3631017,Chino Hills High,67678,Chino Valley Unified,36,San Bernardino
4130738,4130738,Capuchino High,69047,San Mateo Union High,41,San Mateo
1632207,1632207,Corcoran High,63891,Corcoran Joint Unified,16,Kings
3631058,3631058,Los Osos High,67652,Chaffey Joint Union High,36,San Bernardino
3631066,3631066,Big Bear High,67637,Bear Valley Unified,36,San Bernardino
124891,124891,Alliance Renee and Meyer Luskin Academy High,64733,Los Angeles Unified,19,Los Angeles
3033057,3033057,Katella High,66431,Anaheim Union High,30,Orange
1034214,1034214,McLane High,62166,Fresno Unified,10,Fresno
4835302,4835302,Rio Vista High,67413,River Delta Joint Unified,34,Sacramento
3631082,3631082,Arroyo Valley High,67876,San Bernardino City Unified,36,San Bernardino
3631090,3631090,Middle College High,67876,San Bernardino City Unified,36,San Bernardino
731125,731125,Campolindo High,61630,Acalanes Union High,7,Contra Costa
1935352,1935352,Los Angeles Senior High,64733,Los Angeles Unified,19,Los Angeles
100354,100354,Hawthorne Math and Science Academy,64592,Hawthorne,19,Los Angeles
124933,124933,PUC Early College Academy for Leaders and Scholars (ECALS),64733,Los Angeles Unified,19,Los Angeles
108555,108555,Design Science Middle College High,62166,Fresno Unified,10,Fresno
124941,124941,Alliance Margaret M. Bloomfield Technology Academy High,64733,Los Angeles Unified,19,Los Angeles
5031950,5031950,East Stanislaus High,75564,Oakdale Joint Unified,50,Stanislaus
3033115,3033115,John F. Kennedy High,66431,Anaheim Union High,30,Orange
3737632,3737632,San Marcos High,73791,San Marcos Unified,37,San Diego
2730018,2730018,Carmel Valley High,65987,Carmel Unified,27,Monterey
3336237,3336237,Polytechnic High,67215,Riverside Unified,33,Riverside
2730034,2730034,North Monterey County High,73825,North Monterey County Unified,27,Monterey
3631157,3631157,Colony High,67652,Chaffey Joint Union High,36,San Bernardino
124990,124990,Urban Corps of San Diego County Charter,10264,Mono County Office of Education,26,Mono
1935428,1935428,Vista High,64774,Lynwood Unified,19,Los Angeles
100420,100420,Vista Murrieta High,75200,Murrieta Valley Unified,33,Riverside
1935436,1935436,Lynwood High,64774,Lynwood Unified,19,Los Angeles
125021,125021,Minarets Charter High,75606,Chawanakee Unified,20,Madera
2730083,2730083,Portola-Butler Continuation High,66068,South Monterey County Joint Union High,27,Monterey
5630066,5630066,Frontier High,72546,Oxnard Union High,56,Ventura
3033206,3033206,Laguna Beach High,66555,Laguna Beach Unified,30,Orange
125047,125047,CDS Bishop High,76687,Bishop Unified,14,Inyo
2730109,2730109,Alisal High,66159,Salinas Union High,27,Monterey
108670,108670,Leadership Public Schools - Hayward,61192,Hayward Unified,1,Alameda
2435204,2435204,Merced High,65789,Merced Union High,24,Merced
125062,125062,Tierra Del Sol Continuation High,63529,Kern High,15,Kern
3434636,3434636,Hiram W. Johnson High,67439,Sacramento City Unified,34,Sacramento
108688,108688,Academy of the Redwoods,62810,Fortuna Union High,12,Humboldt
116889,116889,KIPP San Jose Collegiate,69427,East Side Union High,43,Santa Clara
5630108,5630108,Conejo Valley High (Continuation),73759,Conejo Valley Unified,56,Ventura
2730141,2730141,Central Bay High (Continuation),73825,North Monterey County Unified,27,Monterey
1935519,1935519,Manual Arts Senior High,64733,Los Angeles Unified,19,Los Angeles
116897,116897,Cosumnes Oaks High,67314,Elk Grove Unified,34,Sacramento
5630116,5630116,Westlake High,73759,Conejo Valley Unified,56,Ventura
4335782,4335782,Palo Alto High,69641,Palo Alto Unified,43,Santa Clara
100529,100529,Cesar E. Chavez High,63412,Delano Joint Union High,15,Kern
4130993,4130993,Carlmont High,69062,Sequoia Union High,41,San Mateo
5630132,5630132,Oak Park High,73874,Oak Park Unified,56,Ventura
2730166,2730166,Everett Alvarez High,66159,Salinas Union High,27,Monterey
133306,133306,Orange Vista High,75242,Val Verde Unified,33,Riverside
2730174,2730174,Greenfield High,66068,South Monterey County Joint Union High,27,Monterey
1534155,1534155,McFarland High School Early College,73908,McFarland Unified,15,Kern
2730190,2730190,Soledad High,75440,Soledad Unified,27,Monterey
1935568,1935568,John Marshall Senior High,64733,Los Angeles Unified,19,Los Angeles
108753,108753,Pleasant Grove High,67314,Elk Grove Unified,34,Sacramento
116954,116954,Jack London Community Day,64733,Los Angeles Unified,19,Los Angeles
3631322,3631322,Bloomington High,67686,Colton Joint Unified,36,San Bernardino
5630173,5630173,Sierra High,72454,Fillmore Unified,56,Ventura
125153,125153,Beach High-Intensive Learning Program,64725,Long Beach Unified,19,Los Angeles
125161,125161,Castlemont High,61259,Oakland Unified,1,Alameda
108787,108787,High Tech High Media Arts,68338,San Diego Unified,37,San Diego
731380,731380,Clayton Valley Charter High,10074,Contra Costa County Office of Education,7,Contra Costa
5630199,5630199,Oak View High,73874,Oak Park Unified,56,Ventura
100602,100602,"Lennox Mathematics, Science and Technology Academy",64709,Lennox,19,Los Angeles
1337609,1337609,San Pasqual Valley High,63214,San Pasqual Valley Unified,13,Imperial
3434768,3434768,John F. Kennedy High,67439,Sacramento City Unified,34,Sacramento
117010,117010,Minarets High,75606,Chawanakee Unified,20,Madera
3033362,3033362,La Habra High,66514,Fullerton Joint Union High,30,Orange
133397,133397,Granada High,61200,Livermore Valley Joint Unified,1,Alameda
133405,133405,Portola High,73650,Irvine Unified,30,Orange
330019,330019,Independence High (Continuation),73981,Amador County Unified,3,Amador
4335907,4335907,Piedmont Hills High,69427,East Side Union High,43,Santa Clara
3131687,3131687,Confluence Continuation High,66894,Placer Union High,31,Placer
2132264,2132264,Marin Oaks High,65417,Novato Unified,21,Marin
3434792,3434792,Kinney High (Continuation),67330,Folsom-Cordova Unified,34,Sacramento
330027,330027,Pine Grove Youth Conservation Camp,32276,California Education Authority (CEA) Headquarters,34,Sacramento
3336492,3336492,Ramona High,67215,Riverside Unified,33,Riverside
2132272,2132272,Novato High,65417,Novato Unified,21,Marin
3737905,3737905,Santana High,68130,Grossmont Union High,37,San Diego
1132851,1132851,Willows High,62661,Willows Unified,11,Glenn
125237,125237,Leadership Military Academy,10330,Riverside County Office of Education,33,Riverside
117051,117051,Edward R. Roybal Learning Center,64733,Los Angeles Unified,19,Los Angeles
5630272,5630272,Pacific High,72652,Ventura Unified,56,Ventura
100677,100677,High Tech LA,64733,Los Angeles Unified,19,Los Angeles
117069,117069,Helen Bernstein High,64733,Los Angeles Unified,19,Los Angeles
108878,108878,CHAMPS - Charter HS of Arts-Multimedia & Performing,64733,Los Angeles Unified,19,Los Angeles
4335949,4335949,Pioneer High,69666,San Jose Unified,43,Santa Clara
3230034,3230034,Almanor High (Continuation),66969,Plumas Unified,32,Plumas
3230042,3230042,Beckwourth (Jim) High (Continuation),66969,Plumas Unified,32,Plumas
5630298,5630298,El Camino High,72652,Ventura Unified,56,Ventura
100701,100701,MetWest High,61259,Oakland Unified,1,Alameda
108894,108894,Alliance Judy Ivie Burton Technology Academy High,64733,Los Angeles Unified,19,Los Angeles
1935717,1935717,Joaquin Miller Career and Transition Center,64733,Los Angeles Unified,19,Los Angeles
3737962,3737962,Garfield High,68338,San Diego Unified,37,San Diego
936302,936302,Ponderosa High,61853,El Dorado Union High,9,El Dorado
5630322,5630322,Santa Susana High,72603,Simi Valley Unified,56,Ventura
108936,108936,Alliance Collins Family College-Ready High,64733,Los Angeles Unified,19,Los Angeles
5630348,5630348,Foothill Technology High,72652,Ventura Unified,56,Ventura
1935758,1935758,Millikan High,64725,Long Beach Unified,19,Los Angeles
100750,100750,Wallis Annenberg High,64733,Los Angeles Unified,19,Los Angeles
108944,108944,Lighthouse Community Charter High,61259,Oakland Unified,1,Alameda
125328,125328,Central Coast New Tech High,68759,Lucia Mar Unified,40,San Luis Obispo
108951,108951,Arthur A. Benjamin Health Professions High,67439,Sacramento City Unified,34,Sacramento
5237151,5237151,Salisbury High (Continuation),71639,Red Bluff Joint Union High,52,Tehama
5630371,5630371,The High School at Moorpark College,73940,Moorpark Unified,56,Ventura
125351,125351,Palm Canyon,73445,Hacienda la Puente Unified,19,Los Angeles
2730414,2730414,Carmel High,65987,Carmel Unified,27,Monterey
108977,108977,Fowler Academy Community Day (9-12),62158,Fowler Unified,10,Fresno
5630389,5630389,Pacifica High,72546,Oxnard Union High,56,Ventura
100800,100800,Central City Value,64733,Los Angeles Unified,19,Los Angeles
108993,108993,Easton Community Day,76778,Washington Unified,10,Fresno
1935808,1935808,Mira Costa High,75333,Manhattan Beach Unified,19,Los Angeles
5835202,5835202,Marysville High,72736,Marysville Joint Unified,58,Yuba
3131851,3131851,Colfax High,66894,Placer Union High,31,Placer
5237201,5237201,Red Bluff High,71639,Red Bluff Joint Union High,52,Tehama
117218,117218,Dozier-Libbey Medical High,61648,Antioch Unified,7,Contra Costa
3631587,3631587,Boys Republic High,67678,Chino Valley Unified,36,San Bernardino
3033578,3033578,La Quinta High,66522,Garden Grove Unified,30,Orange
125419,125419,Adelanto High,67934,Victor Valley Union High,36,San Bernardino
125427,125427,Calero High,69427,East Side Union High,43,Santa Clara
1935865,1935865,James Monroe High,64733,Los Angeles Unified,19,Los Angeles
133629,133629,Hayward High,61192,Hayward Unified,1,Alameda
731646,731646,College Park High,61754,Mt. Diablo Unified,7,Contra Costa
4336137,4336137,Prospect High,69401,Campbell Union High,43,Santa Clara
3033610,3033610,La Vista High (Continuation),66514,Fullerton Joint Union High,30,Orange
125450,125450,Indian Springs High,67876,San Bernardino City Unified,36,San Bernardino
4934154,4934154,Montgomery High,70920,Santa Rosa High,49,Sonoma
4532750,4532750,Enterprise High,70136,Shasta Union High,45,Shasta
1935899,1935899,Canyon Oaks High,64790,Monrovia Unified,19,Los Angeles
3934759,3934759,Tokay High,68585,Lodi Unified,39,San Joaquin
1436203,1436203,Owens Valley High,63297,Owens Valley Unified,14,Inyo
3934767,3934767,Liberty High,68585,Lodi Unified,39,San Joaquin
1935923,1935923,Monrovia High,64790,Monrovia Unified,19,Los Angeles
109108,109108,Citrus Hill High,75242,Val Verde Unified,33,Riverside
5139001,5139001,Yuba City High,71464,Yuba City Unified,51,Sutter
125500,125500,Grand Terrace High School at the Ray Abril Jr. Educational Complex,67686,Colton Joint Unified,36,San Bernardino
3934783,3934783,Lodi High,68585,Lodi Unified,39,San Joaquin
3730017,3730017,Carlsbad Village Academy,73551,Carlsbad Unified,37,San Diego
2132587,2132587,Redwood High,65482,Tamalpais Union High,21,Marin
2837102,2837102,Saint Helena High,66290,Saint Helena Unified,28,Napa
3730033,3730033,Torrey Pines High,68346,San Dieguito Union High,37,San Diego
3738226,3738226,Sweetwater High,68411,Sweetwater Union High,37,San Diego
133751,133751,Edward P. Duplex,72769,Wheatland Union High,58,Yuba
3738234,3738234,Montgomery Senior High,68411,Sweetwater Union High,37,San Diego
1935998,1935998,Montebello High,64808,Montebello Unified,19,Los Angeles
3730058,3730058,San Pasqual High,68106,Escondido Union High,37,San Diego
3730066,3730066,Valhalla High,68130,Grossmont Union High,37,San Diego
3631769,3631769,Buena Vista Continuation High,67678,Chino Valley Unified,36,San Bernardino
3730074,3730074,Mt. Carmel High,68296,Poway Unified,37,San Diego
133793,133793,Accelerated Charter High,72249,Tulare Joint Union High,54,Tulare
4836003,4836003,Sem Yeto Continuation High,70540,Fairfield-Suisun Unified,48,Solano
1936046,1936046,Morningside High,64634,Inglewood Unified,19,Los Angeles
125617,125617,ACE Charter High,69427,East Side Union High,43,Santa Clara
4033205,4033205,Lopez Continuation High,68759,Lucia Mar Unified,40,San Luis Obispo
3033784,3033784,Loara High,66431,Anaheim Union High,30,Orange
731836,731836,Concord High,61754,Mt. Diablo Unified,7,Contra Costa
125633,125633,California Heritage Youthbuild Academy II,10538,Trinity County Office of Education,53,Trinity
133835,133835,Ellen Ochoa Prep Academy,64527,El Rancho Unified,19,Los Angeles
2935500,2935500,Nevada Union High,66357,Nevada Joint Union High,29,Nevada
3730124,3730124,Southwest Senior High,68411,Sweetwater Union High,37,San Diego
5032651,5032651,Hughson High,75549,Hughson Unified,50,Stanislaus
1936079,1936079,Mt. Olive Innovation and Technology High,64469,Duarte Unified,19,Los Angeles
5032669,5032669,Dickens (Billy Joe) High (Continuation),75549,Hughson Unified,50,Stanislaus
1936103,1936103,John Muir High,64881,Pasadena Unified,19,Los Angeles
125674,125674,Condor High,72546,Oxnard Union High,56,Ventura
133868,133868,Rise Kohyang High,64733,Los Angeles Unified,19,Los Angeles
1034990,1034990,Parlier High,62364,Parlier Unified,10,Fresno
3336955,3336955,Abraham Lincoln Continuation,67215,Riverside Unified,33,Riverside
3730173,3730173,Serra High,68338,San Diego Unified,37,San Diego
5434113,5434113,Porterville High,75523,Porterville Unified,54,Tulare
3730181,3730181,Mira Mesa High,68338,San Diego Unified,37,San Diego
133900,133900,Prepa Tec Los Angeles High,76992,SBE - Prepa Tec Los Angeles High,19,Los Angeles
125716,125716,Fremont High,61259,Oakland Unified,1,Alameda
1936160,1936160,Nathaniel Narbonne Senior High,64733,Los Angeles Unified,19,Los Angeles
125732,125732,Hillcrest High,66977,Alvord Unified,33,Riverside
3730215,3730215,Twin Oaks High,73791,San Marcos Unified,37,San Diego
101162,101162,Pioneer High,72710,Woodland Joint Unified,57,Yolo
1534775,1534775,North High,63529,Kern High,15,Kern
3033917,3033917,Los Alamitos High,73924,Los Alamitos Unified,30,Orange
133959,133959,Unity Middle College High,10306,Orange County Department of Education,30,Orange
5630793,5630793,Buena High,72652,Ventura Unified,56,Ventura
101196,101196,ICEF View Park Preparatory High,64733,Los Angeles Unified,19,Los Angeles
3033933,3033933,Los Amigos High,66522,Garden Grove Unified,30,Orange
117598,117598,Alliance Piera Barbaglia Shaheen Health Services Academy,64733,Los Angeles Unified,19,Los Angeles
133983,133983,Ednovate - Legacy College Prep.,10306,Orange County Department of Education,30,Orange
1330018,1330018,Bill M. Manes High,63214,San Pasqual Valley Unified,13,Imperial
1936228,1936228,Nogales High,73452,Rowland Unified,19,Los Angeles
117606,117606,Alliance Leichtman-Levine Family Foundation Environmental Science High,64733,Los Angeles Unified,19,Los Angeles
1035112,1035112,Pershing Continuation High,73965,Central Unified,10,Fresno
3935103,3935103,Manteca High,68593,Manteca Unified,39,San Joaquin
2730885,2730885,Gonzales High,75473,Gonzales Unified,27,Monterey
109447,109447,Santee Education Complex,64733,Los Angeles Unified,19,Los Angeles
3935111,3935111,Calla High,68593,Manteca Unified,39,San Joaquin
3730314,3730314,University City High,68338,San Diego Unified,37,San Diego
109454,109454,South East High,64733,Los Angeles Unified,19,Los Angeles
1936277,1936277,North High,65060,Torrance Unified,19,Los Angeles
109462,109462,Maywood Academy High,64733,Los Angeles Unified,19,Los Angeles
3435419,3435419,C. K. McClatchy High,67439,Sacramento City Unified,34,Sacramento
125864,125864,Ednovate - USC Hybrid High College Prep,64733,Los Angeles Unified,19,Los Angeles
3337128,3337128,Alvord Continuation High,66977,Alvord Unified,33,Riverside
3337136,3337136,Rubidoux High,67090,Jurupa Unified,33,Riverside
117689,117689,Sentinel High,75572,Waterford Unified,50,Stanislaus
4230074,4230074,Refugio High,69328,Santa Ynez Valley Union High,42,Santa Barbara
109512,109512,Cal Burke High,64733,Los Angeles Unified,19,Los Angeles
1330133,1330133,Southwest High,63115,Central Union High,13,Imperial
117721,117721,Contreras Learning Center-Academic Leadership Community,64733,Los Angeles Unified,19,Los Angeles
1330141,1330141,Renaissance,63081,Brawley Union High,13,Imperial
1936350,1936350,North Hollywood Senior High,64733,Los Angeles Unified,19,Los Angeles
109538,109538,Marco Antonio Firebaugh High,64774,Lynwood Unified,19,Los Angeles
3730405,3730405,Bonita Vista Senior High,68411,Sweetwater Union High,37,San Diego
1534957,1534957,Rosamond High Early College Campus,63776,Southern Kern Unified,15,Kern
117747,117747,Los Angeles High School of the Arts,64733,Los Angeles Unified,19,Los Angeles
1936384,1936384,North Park Continuation High,64287,Baldwin Park Unified,19,Los Angeles
330753,330753,Amador High,73981,Amador County Unified,3,Amador
117762,117762,School for the Visual Arts and Humanities,64733,Los Angeles Unified,19,Los Angeles
732164,732164,De Anza High,61796,West Contra Costa Unified,7,Contra Costa
3730447,3730447,Borrego Springs High,67983,Borrego Springs Unified,37,San Diego
1936418,1936418,Northview High,64436,Covina-Valley Unified,19,Los Angeles
3132453,3132453,Del Oro High,66894,Placer Union High,31,Placer
125989,125989,STEM Academy at Bernstein High,64733,Los Angeles Unified,19,Los Angeles
1035310,1035310,Reedley High,62265,Kings Canyon Joint Unified,10,Fresno
2133056,2133056,San Marin High,65417,Novato Unified,21,Marin
134213,134213,Come Back Butte Charter,10041,Butte County Office of Education,4,Butte
3632205,3632205,Chaffey High,67652,Chaffey Joint Union High,36,San Bernardino
3738705,3738705,Vista High,68452,Vista Unified,37,San Diego
1936467,1936467,Norwalk High,64840,Norwalk-La Mirada Unified,19,Los Angeles
1936475,1936475,El Camino High (Continuation),64840,Norwalk-La Mirada Unified,19,Los Angeles
3034204,3034204,Magnolia High,66431,Anaheim Union High,30,Orange
3632221,3632221,Cajon High,67876,San Bernardino City Unified,36,San Bernardino
101477,101477,Leadership Public Schools: Richmond,61796,West Contra Costa Unified,7,Contra Costa
437350,437350,Paradise Senior High,61531,Paradise Unified,4,Butte
1936491,1936491,Nueva Vista Continuation High,64295,Bassett Unified,19,Los Angeles
2731115,2731115,Community High (Continuation),66134,Pacific Grove Unified,27,Monterey
134254,134254,Pinnacle Academy Charter - Independent Study,66068,South Monterey County Joint Union High,27,Monterey
1535087,1535087,Shafter High,63529,Kern High,15,Kern
134270,134270,Irvington High,61176,Fremont Unified,1,Alameda
1133701,1133701,Hamilton High,76562,Hamilton Unified,11,Glenn
117911,117911,New Millennium Secondary,64733,Los Angeles Unified,19,Los Angeles
5434527,5434527,Redwood High,72256,Visalia Unified,54,Tulare
134304,134304,Island High (Continuation),61119,Alameda Unified,1,Alameda
4730024,4730024,Discovery High,70516,Yreka Union High,47,Siskiyou
126136,126136,Math and Science College Preparatory,64733,Los Angeles Unified,19,Los Angeles
1232057,1232057,Zoe Barnum High,75515,Eureka City Schools,12,Humboldt
101576,101576,Weston Ranch High,68593,Manteca Unified,39,San Joaquin
134346,134346,Intellectual Virtues Academy,10199,Los Angeles County Office of Education,19,Los Angeles
117994,117994,YouthBuild Charter School of California,10140,Inyo County Office of Education,14,Inyo
134379,134379,Imperial Pathways Charter,10132,Imperial County Office of Education,13,Imperial
1936624,1936624,Palmdale High,64246,Antelope Valley Union High,19,Los Angeles
4730107,4730107,Scott River High,76455,Scott Valley Unified,47,Siskiyou
2133254,2133254,Madrone High Continuation,65466,San Rafael City High,21,Marin
3730694,3730694,Carlsbad High,73551,Carlsbad Unified,37,San Diego
2133262,2133262,San Rafael High,65466,San Rafael City High,21,Marin
3730702,3730702,West Hills High,68130,Grossmont Union High,37,San Diego
101659,101659,"CATCH Prep Charter High, Inc.",64733,Los Angeles Unified,19,Los Angeles
126243,126243,Chaffey District Online High,67652,Chaffey Joint Union High,36,San Bernardino
3730728,3730728,Rancho Buena Vista High,68452,Vista Unified,37,San Diego
3034410,3034410,Marina High,66548,Huntington Beach Union High,30,Orange
101675,101675,Oscar De La Hoya Animo Charter High,64733,Los Angeles Unified,19,Los Angeles
4730156,4730156,Yreka Union High Community Day,70516,Yreka Union High,47,Siskiyou
2633006,2633006,Coleville High,73668,Eastern Sierra Unified,26,Mono
134452,134452,John F. Kennedy High,61176,Fremont Unified,1,Alameda
437558,437558,Pleasant Valley High,61424,Chico Unified,4,Butte
1035575,1035575,Riverdale High,75408,Riverdale Joint Unified,10,Fresno
4230454,4230454,Cabrillo High,69229,Lompoc Unified,42,Santa Barbara
437566,437566,Prospect High (Continuation),61515,Oroville Union High,4,Butte
109900,109900,Vista Real Charter High,10561,Ventura County Office of Education,56,Ventura
1232206,1232206,Eureka Senior High,75515,Eureka City Schools,12,Humboldt
126292,126292,Reedley Middle College High,62265,Kings Canyon Joint Unified,10,Fresno
101725,101725,Grizzly ChalleNGe Charter,10405,San Luis Obispo County Office of Education,40,San Luis Obispo
3730793,3730793,Foothills High,73791,San Marcos Unified,37,San Diego
1936749,1936749,Paramount High,64873,Paramount Unified,19,Los Angeles
3730801,3730801,Castle Park Senior High,68411,Sweetwater Union High,37,San Diego
1936756,1936756,Buena Vista High,64873,Paramount Unified,19,Los Angeles
118133,118133,Five Keys Adult School (SF Sheriff's),68478,San Francisco Unified,38,San Francisco
109942,109942,Los Angeles College Prep Academy,77289,SBE - Los Angeles College Prep Academy,19,Los Angeles
3632502,3632502,Chino High,67678,Chino Valley Unified,36,San Bernardino
118141,118141,Five Keys Independence HS (SF Sheriff's),68478,San Francisco Unified,38,San Francisco
134528,134528,Lincoln High (Continuation),61291,San Leandro Unified,1,Alameda
3730819,3730819,Rancho Bernardo High,68296,Poway Unified,37,San Diego
1936772,1936772,Park West High (Continuation),64907,Pomona Unified,19,Los Angeles
134536,134536,Livermore High,61200,Livermore Valley Joint Unified,1,Alameda
3739018,3739018,El Camino High,73569,Oceanside Unified,37,San Diego
101774,101774,Five Keys Charter (SF Sheriff's),68478,San Francisco Unified,38,San Francisco
3739026,3739026,Surfside High (Continuation),73569,Oceanside Unified,37,San Diego
3435930,3435930,Mira Loma High,67447,San Juan Unified,34,Sacramento
3730843,3730843,Eastlake High,68411,Sweetwater Union High,37,San Diego
1535392,1535392,South High,63529,Kern High,15,Kern
1936806,1936806,Rose City High (Continuation),64881,Pasadena Unified,19,Los Angeles
2330033,2330033,Round Valley Continuation,65607,Round Valley Unified,23,Mendocino
3337649,3337649,Mountain View High,67249,San Jacinto Unified,33,Riverside
1936822,1936822,Pasadena High,64881,Pasadena Unified,19,Los Angeles
3337656,3337656,San Jacinto High,67249,San Jacinto Unified,33,Riverside
134585,134585,Pathways Academy Charter Adult Education,75309,Acton-Agua Dulce Unified,19,Los Angeles
2330041,2330041,Potter Valley High,73866,Potter Valley Community Unified,23,Mendocino
4230587,4230587,Carpinteria Senior High,69146,Carpinteria Unified,42,Santa Barbara
3730884,3730884,Scripps Ranch High,68338,San Diego Unified,37,San Diego
2330058,2330058,Rancheria Continuation,65540,Anderson Valley Unified,23,Mendocino
2330090,2330090,Mendocino Sunrise High,65581,Mendocino Unified,23,Mendocino
4935151,4935151,Petaluma High,70862,Petaluma Joint Union High,49,Sonoma
3730934,3730934,Campo High (Continuation),68213,Mountain Empire Unified,37,San Diego
1936889,1936889,Pioneer High,65128,Whittier Union High,19,Los Angeles
101881,101881,New Technology High,67439,Sacramento City Unified,34,Sacramento
2330108,2330108,South Coast Continuation,65599,Point Arena Joint Union High,23,Mendocino
126474,126474,"Hilda L. Solis Learning Academy School of Technology, Business and Education",64733,Los Angeles Unified,19,Los Angeles
101899,101899,George Washington Carver School of Arts and Science,67439,Sacramento City Unified,34,Sacramento
134668,134668,James Logan High,61242,New Haven Unified,1,Alameda
3935756,3935756,Ripon High,68650,Ripon Unified,39,San Joaquin
126482,126482,Augustus F. Hawkins High A Critical Design and Gaming,64733,Los Angeles Unified,19,Los Angeles
101907,101907,The MET,67439,Sacramento City Unified,34,Sacramento
3730967,3730967,Oasis High (Alternative),68122,Fallbrook Union High,37,San Diego
126490,126490,Augustus F. Hawkins High B Community Health Advocates,64733,Los Angeles Unified,19,Los Angeles
110106,110106,Orange Grove High,67033,Corona-Norco Unified,33,Riverside
118307,118307,Pride Continuation,68577,Linden Unified,39,San Joaquin
118315,118315,East Village Middle College High,68338,San Diego Unified,37,San Diego
126508,126508,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,64733,Los Angeles Unified,19,Los Angeles
4337200,4337200,San Jose High,69666,San Jose Unified,43,Santa Clara
1936947,1936947,Polytechnic High,64725,Long Beach Unified,19,Los Angeles
126516,126516,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,64733,Los Angeles Unified,19,Los Angeles
5434931,5434931,Strathmore High,75523,Porterville Unified,54,Tulare
1035831,1035831,Roosevelt High,62166,Fresno Unified,10,Fresno
126524,126524,Linda Esperanza Marquez High B LIBRA Academy,64733,Los Angeles Unified,19,Los Angeles
3731007,3731007,La Costa Canyon High,68346,San Dieguito Union High,37,San Diego
126532,126532,Linda Esperanza Marquez High C School of Social Justice,64733,Los Angeles Unified,19,Los Angeles
101956,101956,Aspire Benjamin Holt College Preparatory Academy,68585,Lodi Unified,39,San Joaquin
126540,126540,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",64733,Los Angeles Unified,19,Los Angeles
3731023,3731023,Escondido Charter High,68106,Escondido Union High,37,San Diego
101972,101972,Rosemont High,67439,Sacramento City Unified,34,Sacramento
126557,126557,Visual and Performing Arts at Legacy High School Complex,64733,Los Angeles Unified,19,Los Angeles
2330207,2330207,Whale Gulch High,75218,Leggett Valley Unified,23,Mendocino
3632742,3632742,Colton High,67686,Colton Joint Unified,36,San Bernardino
2330215,2330215,Noyo High (Continuation),65565,Fort Bragg Unified,23,Mendocino
118380,118380,Christopher High,69484,Gilroy Unified,43,Santa Clara
110189,110189,McClymonds High,61259,Oakland Unified,1,Alameda
126573,126573,Mervyn M. Dymally High,64733,Los Angeles Unified,19,Los Angeles
2330223,2330223,Laytonville Continuation High,73916,Laytonville Unified,23,Mendocino
3731056,3731056,TRACE,68338,San Diego Unified,37,San Diego
3731064,3731064,Chula Vista Senior High,68411,Sweetwater Union High,37,San Diego
4935292,4935292,Piner High,70920,Santa Rosa High,49,Sonoma
110205,110205,Lemoore Middle College High,63982,Lemoore Union High,16,Kings
5631619,5631619,Adolfo Camarillo High,72546,Oxnard Union High,56,Ventura
1937028,1937028,Pomona High,64907,Pomona Unified,19,Los Angeles
102038,102038,Sacramento Charter High,67439,Sacramento City Unified,34,Sacramento
126615,126615,Academies of Education and Empowerment at Carson High,64733,Los Angeles Unified,19,Los Angeles
1937051,1937051,Quartz Hill High,64246,Antelope Valley Union High,19,Los Angeles
118430,118430,Mission Vista High,68452,Vista Unified,37,San Diego
126623,126623,Academy of Medical Arts at Carson High,64733,Los Angeles Unified,19,Los Angeles
3632809,3632809,Sierra High,67876,San Bernardino City Unified,36,San Bernardino
3731114,3731114,Valley Center High,75614,Valley Center-Pauma Unified,37,San Diego
