,SchoolCode,Value,CohortStudents,Dropout (Count),Dropout Rate,Unnamed: 0,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
273,3630530,,1092.0,104.0,0.09523809523809523,3630530,Zupanic High,67850,Rialto Unified,36,San Bernardino
274,132548,,1184.0,304.0,0.25675675675675674,132548,IDEA Center,68130,Grossmont Union High,37,San Diego
275,124362,,3780.0,16.0,0.004232804232804233,124362,Valley Academy of Arts and Sciences,64733,Los Angeles Unified,19,Los Angeles
276,132555,,56.0,0.0,0.0,132555,Conservatory of Vocal/Instrumental Arts High,61259,Oakland Unified,1,Alameda
277,730572,,1640.0,164.0,0.1,730572,Independence High,61721,Liberty Union High,7,Contra Costa
278,1934801,,3876.0,40.0,0.010319917440660475,1934801,La Puente High,73445,Hacienda la Puente Unified,19,Los Angeles
279,124370,,1412.0,20.0,0.014164305949008499,124370,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,64733,Los Angeles Unified,19,Los Angeles
280,5432786,,6692.0,172.0,0.025702331141661684,5432786,Monache High,75523,Porterville Unified,54,Tulare
281,5031380,,7892.0,20.0,0.002534211860111505,5031380,Grace M. Davis High,71175,Modesto City High,50,Stanislaus
282,3630555,,7976.0,516.0,0.06469408224674023,3630555,Fontana A. B. Miller High,67710,Fontana Unified,36,San Bernardino
283,1033695,,3252.0,16.0,0.004920049200492005,1033695,Kingsburg High,62257,Kingsburg Joint Union High,10,Fresno
284,3630563,,696.0,40.0,0.05747126436781609,3630563,Lucerne Valley High,75051,Lucerne Valley Unified,36,San Bernardino
285,1730019,,416.0,16.0,0.038461538461538464,1730019,Natural High (Continuation),64030,Lakeport Unified,17,Lake
286,124388,,1844.0,88.0,0.04772234273318872,124388,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,64733,Los Angeles Unified,19,Los Angeles
287,730598,,3132.0,40.0,0.01277139208173691,730598,Hercules High,61796,West Contra Costa Unified,7,Contra Costa
288,1033703,,1168.0,0.0,0.0,1033703,Kings Canyon Continuation,62265,Kings Canyon Joint Unified,10,Fresno
289,3630571,,12952.0,420.0,0.03242742433600988,3630571,Rancho Cucamonga High,67652,Chaffey Joint Union High,36,San Bernardino
290,1730027,,1024.0,228.0,0.22265625,1730027,Carle (William C.) High (Continuation),64022,Konocti Unified,17,Lake
291,124396,,1688.0,152.0,0.09004739336492891,124396,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),64733,Los Angeles Unified,19,Los Angeles
292,1730035,,,,,1730035,Loconoma Valley High,64055,Middletown Unified,17,Lake
293,124404,,932.0,20.0,0.02145922746781116,124404,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,64733,Los Angeles Unified,19,Los Angeles
294,1730043,,128.0,8.0,0.0625,1730043,Ed Donaldson Education Center,64014,Kelseyville Unified,17,Lake
295,5432828,,5220.0,260.0,0.04980842911877394,5432828,Mt. Whitney High,72256,Visalia Unified,54,Tulare
296,1033729,,232.0,24.0,0.10344827586206896,1033729,Oasis Continuation High,62257,Kingsburg Joint Union High,10,Fresno
297,1730050,,172.0,44.0,0.2558139534883721,1730050,Clover Valley High (Continuation),76976,Upper Lake Unified,17,Lake
298,3630597,,10104.0,420.0,0.04156769596199525,3630597,Rialto High,67850,Rialto Unified,36,San Bernardino
299,4032009,,496.0,16.0,0.03225806451612903,4032009,Coast Union High,75465,Coast Unified,40,San Luis Obispo
300,4630034,,,,,4630034,Sierra Pass (Continuation),70177,Sierra-Plumas Joint Unified,46,Sierra
301,1934868,,9572.0,100.0,0.010447137484329294,1934868,La Serna High,65128,Whittier Union High,19,Los Angeles
302,4130324,,1416.0,332.0,0.2344632768361582,4130324,Baden High (Continuation),69070,South San Francisco Unified,41,San Mateo
303,108076,,7720.0,264.0,0.03419689119170984,108076,Central Valley High,71043,Ceres Unified,50,Stanislaus
304,108084,,6444.0,36.0,0.00558659217877095,108084,Whitney High,75085,Rocklin Unified,31,Placer
305,108092,,1908.0,20.0,0.010482180293501049,108092,Orange Cove High,62265,Kings Canyon Joint Unified,10,Fresno
306,116285,,,,,116285,Redondo Beach Learning Academy,75341,Redondo Beach Unified,19,Los Angeles
307,124479,,3840.0,728.0,0.18958333333333333,124479,Dr. Maya Angelou Community High,64733,Los Angeles Unified,19,Los Angeles
308,124487,,2088.0,176.0,0.0842911877394636,124487,Public Service Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles
309,1132109,,,,,1132109,Elk Creek Junior-Senior High,62653,Stony Creek Joint Unified,11,Glenn
310,1934926,,8752.0,356.0,0.040676416819012795,1934926,Lawndale High,64352,Centinela Valley Union High,19,Los Angeles
311,124495,,2020.0,236.0,0.11683168316831684,124495,Communication and Technology at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles
312,132688,,1732.0,108.0,0.06235565819861432,132688,Dewey Academy,61259,Oakland Unified,1,Alameda
313,3335759,,2672.0,104.0,0.038922155688622756,3335759,Palo Verde High,67181,Palo Verde Unified,33,Riverside
314,124503,,2128.0,184.0,0.08646616541353383,124503,Diego Rivera Learning Complex Green Design STEAM Academy,64733,Los Angeles Unified,19,Los Angeles
315,124511,,1732.0,168.0,0.09699769053117784,124511,Performing Arts Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles
316,132704,,9524.0,44.0,0.004619907601847963,132704,Dublin High,75093,Dublin Unified,1,Alameda
317,3933793,,892.0,108.0,0.1210762331838565,3933793,Village Oaks High,68569,Lincoln Unified,39,San Joaquin
318,1533538,,1636.0,136.0,0.08312958435207823,1533538,Kern Valley High,63529,Kern High,15,Kern
319,5031521,,936.0,28.0,0.029914529914529916,5031521,Denair High,71068,Denair Unified,50,Stanislaus
320,4335204,,6124.0,540.0,0.08817766165904638,4335204,Oak Grove High,69427,East Side Union High,43,Santa Clara
321,3630696,,,,,3630696,Mountain View High,75051,Lucerne Valley Unified,36,San Bernardino
322,3933801,,9656.0,320.0,0.033140016570008285,3933801,Lincoln High,68569,Lincoln Unified,39,San Joaquin
323,3630712,,1836.0,636.0,0.3464052287581699,3630712,Central High (Continuation),67611,Barstow Unified,36,San Bernardino
324,108159,,8700.0,876.0,0.1006896551724138,108159,Cesar Chavez High,68676,Stockton Unified,39,San Joaquin
325,124552,,2060.0,20.0,0.009708737864077669,124552,Applied Technology Center,64808,Montebello Unified,19,Los Angeles
326,132746,,588.0,32.0,0.05442176870748299,132746,Emery Secondary,61168,Emery Unified,1,Alameda
327,124560,37947369.76,2644.0,260.0,0.09833585476550681,124560,Synergy Quantum Academy,64733,Los Angeles Unified,19,Los Angeles
328,116368,,4716.0,72.0,0.015267175572519083,116368,Mission Oak High,72249,Tulare Joint Union High,54,Tulare
329,5637780,,,,,5637780,Mary B. Perry High,32276,California Education Authority (CEA) Headquarters,34,Sacramento
330,116376,,5092.0,116.0,0.022780832678711706,116376,Lathrop High,68593,Manteca Unified,39,San Joaquin
331,3630746,,5956.0,168.0,0.028206850235057087,3630746,Sultana High,75044,Hesperia Unified,36,San Bernardino
332,108191,,9532.0,192.0,0.020142677297524128,108191,Summit High,67710,Fontana Unified,36,San Bernardino
333,116384,,5800.0,120.0,0.020689655172413793,116384,Robert F. Kennedy High,63412,Delano Joint Union High,15,Kern
334,116392,,7820.0,268.0,0.034271099744245526,116392,Independence High,63529,Kern High,15,Kern
335,4130472,,4732.0,92.0,0.01944209636517329,4130472,Burlingame High,69047,San Mateo Union High,41,San Mateo
336,116400,,10740.0,1160.0,0.10800744878957169,116400,Mira Monte High,63529,Kern High,15,Kern
337,3032752,,9552.0,288.0,0.03015075376884422,3032752,Garden Grove High,66522,Garden Grove Unified,30,Orange
338,3630779,,7260.0,300.0,0.04132231404958678,3630779,Redlands East Valley High,67843,Redlands Unified,36,San Bernardino
339,4531901,,1760.0,124.0,0.07045454545454545,4531901,Central Valley High,75267,Gateway Unified,45,Shasta
340,5637822,,7160.0,768.0,0.10726256983240223,5637822,Ventura High,72652,Ventura Unified,56,Ventura
341,108225,,6964.0,960.0,0.13785180930499713,108225,Ronald E. McNair High,68585,Lodi Unified,39,San Joaquin
342,3630787,,7908.0,500.0,0.06322711178553364,3630787,Silverado High,67934,Victor Valley Union High,36,San Bernardino
343,1935048,,8212.0,452.0,0.05504140282513395,1935048,Leuzinger High,64352,Centinela Valley Union High,19,Los Angeles
344,3032786,,5368.0,392.0,0.07302533532041729,3032786,Gilbert High (Continuation),66431,Anaheim Union High,30,Orange
345,3630803,,4524.0,420.0,0.09283819628647215,3630803,Barstow High,67611,Barstow Unified,36,San Bernardino
346,1033950,,500.0,16.0,0.032,1033950,Laton High,62281,Laton Joint Unified,10,Fresno
347,100065,,1232.0,76.0,0.06168831168831169,100065,Oakland Unity High,61259,Oakland Unified,1,Alameda
348,116459,,6344.0,436.0,0.06872635561160151,116459,Antelope High,66928,Roseville Joint Union High,31,Placer
349,730861,,7248.0,840.0,0.11589403973509933,730861,Antioch High,61648,Antioch Unified,7,Contra Costa
350,100081,,11400.0,2456.0,0.21543859649122807,100081,William J. (Pete) Knight High,64246,Antelope Valley Union High,19,Los Angeles
351,3630845,,,,,3630845,Chaffey Community Day,67652,Chaffey Joint Union High,36,San Bernardino
352,3933959,,2008.0,12.0,0.00597609561752988,3933959,Linden High,68577,Linden Unified,39,San Joaquin
353,116491,,,,,116491,Open Door Charter,10272,Monterey County Office of Education,27,Monterey
354,1935121,,4044.0,216.0,0.05341246290801187,1935121,Abraham Lincoln Senior High,64733,Los Angeles Unified,19,Los Angeles
355,2230035,,596.0,152.0,0.2550335570469799,2230035,Spring Hill High (Continuation),65532,Mariposa County Unified,22,Mariposa
356,116509,83406165.61,1780.0,52.0,0.029213483146067417,116509,Alliance Morgan McKinzie High,64733,Los Angeles Unified,19,Los Angeles
357,5130018,,1908.0,300.0,0.15723270440251572,5130018,Albert Powell Continuation,71464,Yuba City Unified,51,Sutter
358,3335973,,8232.0,648.0,0.07871720116618076,3335973,Perris High,67207,Perris Union High,33,Riverside
359,3737384,,992.0,164.0,0.16532258064516128,3737384,Sunset High (Continuation),68346,San Dieguito Union High,37,San Diego
360,132910,,772.0,100.0,0.12953367875647667,132910,College and Career Preparatory Academy,10306,Orange County Department of Education,30,Orange
361,3630894,,5244.0,164.0,0.031273836765827616,3630894,Granite Hills High,75077,Apple Valley Unified,36,San Bernardino
362,1337138,,144.0,12.0,0.08333333333333333,1337138,Sam Webb Continuation,63149,Holtville Unified,13,Imperial
363,3630902,,8532.0,268.0,0.031411157993436474,3630902,Henry J. Kaiser High,67710,Fontana Unified,36,San Bernardino
364,124727,,812.0,32.0,0.03940886699507389,124727,Kingsburg Independent Study High,62257,Kingsburg Joint Union High,10,Fresno
365,5130042,,128.0,24.0,0.1875,5130042,Butte View High,71449,Sutter Union High,51,Sutter
366,2230076,,,,,2230076,Coulterville High,65532,Mariposa County Unified,22,Mariposa
367,2230084,,,,,2230084,Yosemite Park High,65532,Mariposa County Unified,22,Mariposa
368,4335428,,6652.0,916.0,0.13770294648226097,4335428,William C. Overfelt High,69427,East Side Union High,43,Santa Clara
369,3737418,,6216.0,64.0,0.010296010296010296,3737418,San Dieguito HS Academy,68346,San Dieguito Union High,37,San Diego
