SchoolCode,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
3630019,85,1567,61.0,1107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630035,444,9872,298.0,7455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630100,49,642,30.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630159,104,1193,43.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630217,214,942,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630225,730,15829,385.0,12081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630233,567,14562,320.0,8937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630241,11,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630266,6,56,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630274,126,2244,64.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630282,4,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630308,112,1754,42.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630365,63,999,20.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630373,971,21371,533.0,16916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630407,737,12317,350.0,9220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630423,524,11780,295.0,8865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630456,71,904,59.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630472,95,1517,46.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630480,153,1786,90.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630522,630,16911,504.0,13803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630530,60,101,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630555,573,12938,380.0,9658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630571,833,20802,525.0,17166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3630597,819,16389,425.0,11194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
