Dcode,DropoutRate,CohortStudentsSum,Total fund,CO,DISTRICT,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,District,TOTALREV_x,TFEDREV_x,TSTREV_x,TLOCREV_x,Total Fund Per Enrollment,TOTALREV_y,TFEDREV_y,TLOCREV_y,TSTREV_y
75192,0.022190944,66784,1838451972.0,33,Temecula Valley Unified,"307,521,291.39","26,736.09","11,502.10",Unified,TEMECULA VALLEY UNIF SCHOOL DIST,367281,13626,220293,133362,27528.32972,367281,13626,133362,220293
75200,0.013680628,59354,1126632297.0,33,Murrieta Valley Unified,"265,456,089.34","22,340.04","11,882.53",Unified,MURRIETA VALLEY UNIF SCH DIST,300765,13570,179037,108158,18981.57322,300765,13570,108158,179037
75234,0.074632492,5306,128099509.4,10,Golden Plains Unified,"23,128,058.66","1,497.00","15,449.60",Unified,GOLDEN PLAINS UNIFIED SCH DIST,27202,3065,17457,6680,24142.38775,27202,3065,6680,17457
75242,0.078370344,57190,2301969291.0,33,Val Verde Unified,"257,468,685.08","19,126.86","13,461.11",Unified,VAL VERDE UNIFIED SCHOOL DISTRICT,490494,75568,337091,77835,40251.25531,490494,75568,77835,337091
75267,0.1416,5000,195770040.0,45,Gateway Unified,"33,641,104.65","2,075.84","16,206.02",Unified,GATEWAY UNIFIED SCHOOL DISTRICT,40493,3394,17868,19231,39154.008,40493,3394,19231,17868
75275,0.032327586,3712,66396825.11,10,Sierra Unified,"18,619,134.10","1,169.40","15,921.95",Unified,SIERRA UNIFIED SCHOOL DISTRICT,19112,1456,8388,9268,17887.07573,19112,1456,9268,8388
75283,0.018170058,34012,1784472348.0,34,Natomas Unified,"134,819,814.62","10,008.76","13,470.18",Unified,NATOMAS UNIFIED SCHOOL DIST,201610,8727,127069,65814,52465.96342,201610,8727,65814,127069
75291,0.113109394,20184,279820940.6,19,San Gabriel Unified,"64,269,475.74","4,784.26","13,433.52",Unified,SAN GABRIEL UNIFIED SCHOOL DIST,76470,5208,45610,25652,13863.5028,76470,5208,25652,45610
75325,0.052597403,6160,169592027.4,54,Farmersville Unified,"34,639,993.34","2,398.24","14,443.92",Unified,FARMERSVILLE UNIFIED SCHOOL DISTRICT,38950,4372,31388,3190,27531.17329,38950,4372,3190,31388
75333,0.011318898,16256,748539004.8,19,Manhattan Beach Unified,"85,690,979.98","6,302.25","13,596.89",Unified,MANHATTAN BEACH UNIFIED SCH DIST,117236,2398,27065,87773,46046.93681,117236,2398,87773,27065
75341,0.031133607,20942,553672030.1,19,Redondo Beach Unified,"103,639,913.40","9,743.71","10,636.60",Unified,REDONDO BEACH UNIFIED SCH DT,139858,5538,56132,78188,26438.35499,139858,5538,78188,56132
75358,0.043831418,13050,452102408.4,49,Windsor Unified,"44,428,725.20","3,526.69","12,597.85",Unified,WINDSOR UNIFIED SCHOOL DISTRICT,78602,4377,31277,42948,34643.86271,78602,4377,42948,31277
75366,0.004884005,6552,181732409.5,24,Delhi Unified,"32,939,658.45","2,458.62","13,397.62",Unified,DELHI UNIFIED SCHOOL DISTRICT,39093,3127,31803,4163,27736.93673,39093,3127,4163,31803
75374,0.0,1360,30346099.36,12,Ferndale Unified,"6,248,963.52",436.63,"14,311.81",Unified,FERNDALE UNIFIED SCHOOL DISTRICT,7148,468,4493,2187,22313.30835,7148,468,2187,4493
75390,0.026707756,3894,277464899.5,49,Healdsburg Unified,"25,058,512.31","1,332.95","18,799.29",Unified,HEALDSBURG UNIFIED SCHOOL DISTRICT,36711,1281,5591,29839,71254.46828,36711,1281,29839,5591
75408,0.017184035,3608,113346147.7,10,Riverdale Joint Unified,"21,915,337.80","1,489.41","14,714.11",Unified,RIVERDALE JOINT UNIFIED SCHOOL DISTRICT,24836,2113,16819,5904,31415.22941,24836,2113,5904,16819
75416,0.160100738,5559,27241598.1,37,Warner Unified,"4,283,074.10",179.51,"23,859.81",Unified,WARNER UNIFIED SCHOOL DISTRICT,5144,487,2917,1740,4900.449379,5144,487,1740,2917
75432,0.069666183,6890,155920530.2,44,Scotts Valley Unified,"23,102,777.20","2,352.45","9,820.73",Unified,SCOTTS VALLEY UNIFIED SCHOOL DISTRICT,31643,879,10889,19875,22629.97535,31643,879,19875,10889
75440,0.042735043,12636,284272387.6,27,Soledad Unified,"70,760,117.98","4,640.49","15,248.42",Unified,SOLEDAD UNIFIED SCHOOL DISTRICT,77561,5854,54554,17153,22497.0234,77561,5854,17153,54554
75457,0.058478186,17374,475500109.0,40,Paso Robles Joint Unified,"73,436,447.77","6,472.17","11,346.50",Unified,PASO ROBLES JOINT UNIFIED SCHOOL DISTRICT,94356,5159,35353,53844,27368.48791,94356,5159,53844,35353
75465,0.10321489,1182,72397586.92,40,Coast Unified,"11,690,633.13",550.92,"21,220.20",Unified,COAST UNIFIED SCHOOL DISTRICT,15237,509,2125,12603,61250.07354,15237,509,12603,2125
