Dcode,DropoutRate,CohortStudentsSum,Total fund,CO,DISTRICT,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,District,TOTALREV_x,TFEDREV_x,TSTREV_x,TLOCREV_x,Total Fund Per Enrollment,TOTALREV_y,TFEDREV_y,TLOCREV_y,TSTREV_y
75473,0.076608784,7832,169241730.4,27,Gonzales Unified,"28,897,562.10","2,234.49","12,932.51",Unified,GONZALES UNIFIED SCHOOL DISTRICT,35585,3178,20335,12072,21609.00541,35585,3178,12072,20335
75481,0.056842105,5700,141412171.2,11,Orland Joint Unified,"26,117,408.62","2,145.54","12,172.88",Unified,ORLAND JOINT UNIFIED SCHOOL DISTRICT,31588,2547,21577,7464,24809.15284,31588,2547,7464,21577
75499,0.156283925,47900,1090767600.0,39,Tracy Joint Unified,"162,775,842.29","13,879.32","11,727.94",Unified,TRACY JOINT UNIFIED SCHOOL DISTRICT,203780,11329,133354,59097,22771.76619,203780,11329,59097,133354
75507,0.068616829,5538,146345439.1,4,Gridley Unified,"26,483,633.56","1,983.49","13,352.04",Unified,GRIDLEY UNIFIED SCHOOL DISTRICT,28197,1919,21345,4933,26425.6842,28197,1919,4933,21345
75515,0.067563643,10331,357911769.6,12,Eureka City Schools,"41,232,259.43","3,449.54","11,952.97",Unified,EUREKA CITY UNIFIED SCHOOL DISTRICT,56785,6244,29635,20906,34644.4458,56785,6244,20906,29635
75523,0.111973182,57871,1325220599.0,54,Porterville Unified,"164,662,446.09","12,759.54","12,905.05",Unified,PORTERVILLE UNIFIED SCHOOL DISTRICT,226185,23149,176309,26727,22899.56281,226185,23149,26727,176309
75531,0.042553191,19834,649777576.9,54,Dinuba Unified,"77,819,822.70","6,329.11","12,295.54",Unified,DINUBA UNIFIED SCHOOL DISTRICT,97661,7776,79841,10044,32760.79343,97661,7776,10044,79841
75549,0.012738854,5652,113022839.2,50,Hughson Unified,"25,599,186.12","2,017.78","12,686.81",Unified,HUGHSON UNIFIED SCHOOL DISTRICT,26939,1758,16227,8954,19996.96376,26939,1758,8954,16227
75556,0.035862069,7250,206624361.6,50,Riverbank Unified,"35,541,780.12","2,275.73","15,617.75",Unified,RIVERBANK UNIFIED SCHOOL DISTRICT,46971,5546,34261,7164,28499.91195,46971,5546,7164,34261
75564,0.06306722,13002,272437227.3,50,Oakdale Joint Unified,"60,193,296.13","5,101.69","11,798.70",Unified,OAKDALE JOINT UNIFIED SCHOOL DISTRICT,65810,3150,39959,22701,20953.48618,65810,3150,22701,39959
75572,0.040373345,9214,160968380.0,50,Waterford Unified,"25,534,808.19","1,723.69","14,814.04",Unified,WATERFORD UNIFIED SCHOOL DISTRICT,29630,2343,19670,7617,17469.97829,29630,2343,7617,19670
75580,0.057390363,3694,308577785.4,20,Golden Valley Unified,"22,896,665.76","1,953.51","11,720.78",Unified,GOLDEN VALLEY UNIFIED SCHOOL DISTRICT,28254,864,16522,10868,83534.86339,28254,864,10868,16522
75598,0.021112464,4926,147766129.6,10,Caruthers Unified,"21,790,939.97","1,480.69","14,716.75",Unified,CARUTHERS UNIFIED SCHOOL DISTRICT,24594,2454,17248,4892,29997.18424,24594,2454,4892,17248
75606,0.003597122,4448,95309005.37,20,Chawanakee Unified,"10,986,018.64",869.8,"12,630.51",Unified,CHAWANAKEE JOINT UNIFIED SCHOOL DISTRICT,33902,689,11525,21688,21427.3843,33902,689,21688,11525
75713,0.009729649,53856,1666697818.0,19,Alhambra Unified,"208,162,779.25","15,754.91","13,212.57",Unified,ALHAMBRA UNIFIED SCHOOL DISTRICT,319149,32429,208034,78686,30947.30055,319149,32429,78686,208034
75739,0.067900187,41237,1059264854.0,50,Turlock Unified,"174,920,002.43","13,440.56","13,014.34",Unified,TURLOCK UNIFIED SCHOOL DISTRICT,208098,12648,137662,57788,25687.24336,208098,12648,57788,137662
76414,0.213460904,6062,85177963.99,20,Yosemite Unified,"17,838,256.07","1,411.86","12,634.58",Unified,YOSEMITE UNIFIED SCHOOL DISTRICT,23569,1441,13214,8914,14051.1323,23569,1441,8914,13214
76455,0.0,1004,58486121.43,47,Scott Valley Unified,"9,257,519.92",634.91,"14,580.84",Unified,SCOTT VALLEY UNIFIED SCHOOL DISTRICT,10984,887,6486,3611,58253.10899,10984,887,3611,6486
76505,0.292243418,83297,2452871793.0,34,Twin Rivers Unified,"360,180,790.38","23,889.72","15,076.81",Unified,TWIN RIVERS UNIFIED SCHOOL DISTRICT,432046,42991,303971,85084,29447.30054,432046,42991,85084,303971
76513,0.067300658,2734,116003549.5,53,Trinity Alps Unified,"9,284,914.34",625.02,"14,855.39",Unified,TRINITY ALPS UNIFIED SCHOOL DISTRICT,11142,1322,6045,3775,42429.9742,11142,1322,3775,6045
76562,0.0,2086,42879199.56,11,Hamilton Unified,"7,719,459.35",672.7,"11,475.34",Unified,HAMILTON UNIFIED SCHOOL DISTRICT,9661,728,7099,1834,20555.70449,9661,728,1834,7099
76687,0.099253404,4554,101084167.0,14,Bishop Unified,"24,909,260.42","1,969.21","12,649.37",Unified,BISHOP UNIFIED SCHOOL DISTRICT,25414,2733,8640,14041,22196.78677,25414,2733,14041,8640
76760,0.00746888,9640,507623628.8,39,Lammersville Joint Unified,"60,705,636.12","5,931.08","10,235.17",Unified,LAMMERSVILLE JOINT UNIFIED SCHOOL DISTRICT,77309,1401,39571,36337,52658.05278,77309,1401,36337,39571
76786,0.037568711,50574,1060615299.0,42,Santa Barbara Unified,"176,715,402.01","12,460.78","14,181.73",Unified,SANTA BARBARA UNIFIED SCHOOL DISTRICT,214817,12677,42902,159238,20971.55255,214817,12677,159238,42902
76794,0.104450166,5438,157951435.9,54,Woodlake Unified,"28,496,732.68","2,023.86","14,080.39",Unified,WOODLAKE UNIFIED SCHOOL DISTRICT,35948,3400,27050,5498,29045.86906,35948,3400,5498,27050
76828,0.02710066,13948,528613537.6,56,Santa Paula Unified,"73,708,021.24","4,888.74","15,077.10",Unified,SANTA PAULA UNIFIED SCHOOL DISTRICT,83512,6664,59704,17144,37898.87709,83512,6664,17144,59704
76836,0.049535604,7752,207199733.5,54,Exeter Unified,"32,377,924.45","2,613.20","12,390.14",Unified,EXETER UNIFIED SCHOOL DISTRICT,40066,2830,28579,8657,26728.5518,40066,2830,8657,28579
76851,0.127877238,3128,142274662.5,37,Bonsall Unified,"25,753,280.55","2,283.53","11,277.84",Unified,BONSALL UNIFIED SCHOOL DISTRICT,32896,2349,14260,16287,45484.22714,32896,2349,16287,14260
76869,0.002898026,11042,187765660.2,19,Wiseburn Unified,"29,270,429.46","2,426.02","12,065.21",Unified,WISEBURN UNIFIED SCHOOL DISTRICT,47983,1400,19007,27576,17004.67852,47983,1400,27576,19007
76877,0.0,200,43159365.92,29,Penn Valley Union Elementary,"5,870,814.63",513.28,"11,437.84",Elementary,PENN VALLEY UNION ELEM SCH DIST,8642,542,3066,5034,215796.8296,8642,542,5034,3066
76976,0.102145923,2330,114213850.3,17,Upper Lake Unified,"11,975,994.85",765.14,"15,652.03",Unified,UPPER LAKE UNIFIED SCHOOL DISTRICT,12734,1300,7857,3577,49018.81988,12734,1300,3577,7857
