SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,TotalFTE,ClearFTE,OtherFTE
107151,"Escuela Popular/Center for Training and Careers, Family Learning",69427,East Side Union High,43,Santa Clara,16.37,4.91,10.06
934554,Independence Continuation,61853,El Dorado Union High,9,El Dorado,6.55,4.3,2.25
3130010,North Tahoe High,66944,Tahoe-Truckee Unified,31,Placer,24.37,23.33,1.33
107177,Crawford High,68338,San Diego Unified,37,San Diego,53.68,51.09,0
3130036,Phoenix High (Continuation),66951,Western Placer Unified,31,Placer,4.5,4,0.5
115386,Civicorps Corpsmember Academy,61259,Oakland Unified,1,Alameda,2,1,1
1532605,Foothill High,63529,Kern High,15,Kern,86.58,67.7,15.33
115402,Edward C. Merlo Institute of Environmental Studies,68676,Stockton Unified,39,San Joaquin,13,7.71,4.95
1032911,Herbert Hoover High,62166,Fresno Unified,10,Fresno,77.04,60.94,9.89
1934033,Hollywood Senior High,64733,Los Angeles Unified,19,Los Angeles,65.33,49.89,13.52
107219,San Diego Science and Technology,68338,San Diego Unified,37,San Diego,40.5,33.11,5.08
3130077,Sierra High (Continuation),66944,Tahoe-Truckee Unified,31,Placer,4.09,3.54,0.31
123620,Mountain Vista High,65243,Madera Unified,20,Madera,12,8.68,3.32
2032357,Chowchilla Union High,65201,Chowchilla Union High,20,Madera,47.37,35.91,7.72
1630953,Avenal High,73932,Reef-Sunset Unified,16,Kings,25.5,19.23,2.7
131821,Collegiate Charter High School of Los Angeles,64733,Los Angeles Unified,19,Los Angeles,10.4,2.36,8.04
5735154,River City High,72694,Washington Unified,57,Yolo,97.74,82.43,3.49
115444,Canyon Ridge High,75044,Hesperia Unified,36,San Bernardino,11.38,7.84,3.16
115451,Major General Raymond Murray High,68452,Vista Unified,37,San Diego,12.33,11.93,0.4
3638012,Victor Valley High,67934,Victor Valley Union High,36,San Bernardino,78.5,58.43,4.69
4236030,Santa Maria High,69310,Santa Maria Joint Union High,42,Santa Barbara,136.92,109.63,11.98
2335487,Willits High,65623,Willits Unified,23,Mendocino,27.8,17.89,4.68
3433216,Folsom High,67330,Folsom-Cordova Unified,34,Sacramento,102.02,85,11.65
1934082,Herbert Hoover High,64568,Glendale Unified,19,Los Angeles,68.91,60.31,2.58
3130119,Independence High (Alternative),66928,Roseville Joint Union High,31,Placer,11.18,10.97,0.13
4334371,Los Gatos High,69534,Los Gatos-Saratoga Union High,43,Santa Clara,94.22,83.46,5.48
107300,City Arts and Tech High,68478,San Francisco Unified,38,San Francisco,16.15,11.35,4.6
3130150,Rocklin High,75085,Rocklin Unified,31,Placer,96.82,82.38,9.06
3433265,Foothill High,76505,Twin Rivers Unified,34,Sacramento,52.64,43.01,8.95
4137790,Westmoor High,68924,Jefferson Union High,41,San Mateo,63.82,56.4,6.8
