DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,MedianIncome
76562,Glenn,Hamilton Unified,558,78.7,36489
62679,Humboldt,Arcata Elementary,595,52.3,33244
62687,Humboldt,Northern Humboldt Union High,780,42.8,33244
62695,Humboldt,Big Lagoon Union Elementary,16,66.7,33244
62703,Humboldt,Blue Lake Union Elementary,111,62.0,33244
62729,Humboldt,Bridgeville Elementary,33,76.7,33244
62737,Humboldt,Cuddeback Union Elementary,85,63.9,33244
62745,Humboldt,Cutten Elementary,241,41.4,33244
62794,Humboldt,Fieldbrook Elementary,52,44.8,33244
62810,Humboldt,Fortuna Union High,596,52.4,33244
62828,Humboldt,Freshwater Elementary,89,27.6,33244
62836,Humboldt,Garfield Elementary,20,34.5,33244
62851,Humboldt,Green Point Elementary,4,40.0,33244
62885,Humboldt,Hydesville Elementary,63,36.0,33244
62893,Humboldt,Jacoby Creek Elementary,131,28.9,33244
62901,Humboldt,Klamath-Trinity Joint Unified,766,77.4,33244
62919,Humboldt,Kneeland Elementary,12,46.2,33244
62927,Humboldt,Loleta Union Elementary,90,92.8,33244
62935,Humboldt,Maple Creek Elementary,8,72.7,33244
62950,Humboldt,McKinleyville Union Elementary,622,64.1,33244
62968,Humboldt,Orick Elementary,15,71.4,33244
62976,Humboldt,Pacific Union Elementary,281,47.7,33244
62984,Humboldt,Peninsula Union,31,93.9,33244
63008,Humboldt,Rio Dell Elementary,235,78.6,33244
63024,Humboldt,Scotia Union Elementary,133,70.7,33244
63032,Humboldt,South Bay Union Elementary,640,67.1,33244
63040,Humboldt,Southern Humboldt Joint Unified,398,59.8,33244
63057,Humboldt,Trinidad Union Elementary,108,58.4,33244
75374,Humboldt,Ferndale Unified,264,58.1,33244
75382,Humboldt,Mattole Unified,11,24.4,33244
75515,Humboldt,Eureka City Schools,2587,69.6,33244
76802,Humboldt,Fortuna Elementary,887,71.0,33244
63073,Imperial,Brawley Elementary,3478,89.2,25451
63081,Imperial,Brawley Union High,1554,77.0,25451
63099,Imperial,Calexico Unified,7685,88.1,25451
63107,Imperial,Calipatria Unified,1003,89.0,25451
63115,Imperial,Central Union High,3139,75.8,25451
63123,Imperial,El Centro Elementary,4625,83.5,25451
63131,Imperial,Heber Elementary,847,71.7,25451
63149,Imperial,Holtville Unified,1248,77.4,25451
63164,Imperial,Imperial Unified,2177,50.2,25451
63172,Imperial,Magnolia Union Elementary,14,10.4,25451
63180,Imperial,McCabe Union Elementary,402,30.6,25451
63198,Imperial,Meadows Union Elementary,339,81.3,25451
63206,Imperial,Mulberry Elementary,23,29.5,25451
63214,Imperial,San Pasqual Valley Unified,541,88.8,25451
63222,Imperial,Seeley Union Elementary,363,92.4,25451
63230,Imperial,Westmorland Union Elementary,354,95.9,25451
63248,Inyo,Big Pine Unified,91,58.7,41156
63271,Inyo,Death Valley Unified,9,45.0,41156
63289,Inyo,Lone Pine Unified,212,65.4,41156
63297,Inyo,Owens Valley Unified,29,46.0,41156
63305,Inyo,Round Valley Joint Elementary,26,42.6,41156
76687,Inyo,Bishop Unified,1065,54.1,41156
63313,Kern,Arvin Union,2876,95.1,31594
63321,Kern,Bakersfield City,27205,92.8,31594
63339,Kern,Beardsley Elementary,1754,94.5,31594
63347,Kern,Belridge Elementary,23,92.0,31594
63354,Kern,Blake Elementary,5,22.7,31594
63362,Kern,Panama-Buena Vista Union,12452,68.2,31594
63370,Kern,Buttonwillow Union Elementary,281,91.2,31594
63388,Kern,Caliente Union Elementary,35,68.6,31594
63404,Kern,Delano Union Elementary,5055,79.1,31594
63412,Kern,Delano Joint Union High,3862,91.5,31594
63420,Kern,Di Giorgio Elementary,199,100.0,31594
63438,Kern,Edison Elementary,901,89.0,31594
63446,Kern,Elk Hills Elementary,142,83.0,31594
63461,Kern,Fairfax Elementary,2376,87.9,31594
63479,Kern,Fruitvale Elementary,1681,55.0,31594
63487,Kern,General Shafter Elementary,125,70.2,31594
63503,Kern,Greenfield Union,6492,69.6,31594
63529,Kern,Kern High,31394,74.1,31594
63545,Kern,Kernville Union Elementary,656,80.8,31594
63552,Kern,Lakeside Union,916,63.3,31594
63560,Kern,Lamont Elementary,2655,93.2,31594
63578,Kern,Richland Union Elementary,2772,81.8,31594
63586,Kern,Linns Valley-Poso Flat Union,6,40.0,31594
63594,Kern,Lost Hills Union Elementary,284,98.6,31594
63610,Kern,Maple Elementary,107,37.2,31594
63628,Kern,Maricopa Unified,6188,46.3,31594
63651,Kern,McKittrick Elementary,26,38.8,31594
63669,Kern,Midway Elementary,44,61.1,31594
63677,Kern,Mojave Unified,2439,85.0,31594
63685,Kern,Muroc Joint Unified,493,29.2,31594
63693,Kern,Norris Elementary,1051,26.8,31594
63719,Kern,Pond Union Elementary,157,95.7,31594
63750,Kern,Rosedale Union Elementary,1776,30.8,31594
63768,Kern,Semitropic Elementary,138,81.2,31594
63776,Kern,Southern Kern Unified,2813,83.6,31594
63784,Kern,South Fork Union,218,74.9,31594
63792,Kern,Standard Elementary,2565,88.1,31594
63800,Kern,Taft City,2030,87.4,31594
